@relation 'Ant17BugsBinary-weka.filters.unsupervised.attribute.Remove-R1-3,5-18,29-30-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,1-weka.filters.unsupervised.attribute.Normalize-S2.0-T-1.0-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.supervised.instance.SMOTE-C0-K5-P420.0-S1-weka.filters.unsupervised.attribute.Remove-R1-3,5-10'

@attribute 'd( WMC,CBO)' numeric
@attribute #BugsBinary {0,1}

@data
0.927989,0
0.689685,0
0.952927,0
0.950043,0
0.963572,0
0.942285,0
0.981196,0
0.891949,0
0.982307,0
0.994097,0
0.994097,0
0.929523,0
0.875251,0
0.952431,0
0.961419,0
0.981196,0
0.982307,0
0.921009,0
0.96799,0
0.97367,0
0.970539,0
0.966872,0
0.961419,0
0.963572,0
0.982307,0
0.973887,0
0.980093,0
0.842332,0
0.921408,0
0.957325,0
0.969117,0
0.909989,0
0.897091,0
0.86913,0
0.838317,0
0.972762,0
0.959579,0
0.967274,0
0.950331,0
0.951851,0
0.938056,0
0.941815,0
0.968353,0
0.975774,0
0.977534,0
0.997744,0
0.933295,0
0.945999,0
0.975316,0
0.984294,0
0.972057,0
0.978657,0
0.973887,0
0.985697,0
0.983779,0
0.956212,0
0.954013,0
0.995232,0
0.97642,0
0.934311,0
0.695503,0
0.942583,0
0.835507,0
0.948907,0
0.872102,0
0.970539,0
0.968353,0
0.913712,0
0.944577,0
0.937022,0
0.944455,0
0.98056,0
0.922646,0
0.969441,0
0.984558,0
0.918897,0
0.919469,0
0.903841,0
0.970539,0
0.97422,0
0.975316,0
0.888717,0
0.933806,0
0.897653,0
0.980093,0
0.910905,0
0.97979,0
0.972057,0
0.844976,0
0.580271,0
0.960817,0
0.909914,0
0.931228,0
0.906999,0
0.925794,0
0.949726,0
0.950331,0
0.920437,0
0.964663,0
0.950043,0
0.861866,0
0.966203,0
0.938056,0
0.939677,0
0.906999,0
0.951437,0
0.946663,0
0.910826,0
0.945588,0
0.928476,0
0.865181,0
0.854276,0
0.778771,0
0.924001,0
0.889791,0
0.886851,0
0.854885,0
0.890725,0
0.839313,0
0.88591,0
0.428653,0
0.81215,0
0.945881,0
0.968571,0
0.892832,0
0.931017,0
0.934983,0
0.950784,0
0.892862,0
0.944577,0
0.93978,0
0.277597,0
0.96888,0
0.912029,0
0.952431,0
0.970583,0
0.981624,0
0.670541,0
0.968353,0
0.964663,0
0.962098,0
0.973134,0
0.983779,0
0.979,0
0.981196,0
0.968353,0
0.979,0
0.96799,0
0.960987,0
0.962098,0
0.982307,0
0.987081,0
0.978657,0
0.984558,0
0.830189,0
0.733758,0
0.63107,0
0.837704,0
0.862134,0
0.092573,0
0.895037,0
0.884994,0
0.544033,0
0.760024,0
0.808921,0
0.850256,0
0.891949,0
0.8959,0
0.873702,0
0.942573,0
0.935822,0
0.929179,0
0.914805,0
0.879099,0
0.861841,0
0.912767,0
0.888717,0
0.80042,0
0.870607,0
0.909518,0
0.919622,0
0.905053,0
0.911802,0
0.937022,0
0.933977,0
0.932824,0
0.907956,0
0.944577,0
0.888487,0
0.853155,0
0.940152,0
0.855609,0
0.946404,0
0.84545,0
0.898694,0
0.914786,0
0.876282,0
0.916224,0
0.872102,0
0.944616,0
0.938056,0
0.922646,0
0.954173,0
0.956197,0
0.950345,0
-1,0
0.908903,0
0.948327,0
0.929523,0
0.93978,0
0.948678,0
0.958258,0
0.943888,0
0.90932,0
0.933266,0
0.957947,0
0.907832,0
0.960992,0
0.955181,0
0.940793,0
0.807017,0
0.878371,0
0.921616,0
0.948678,0
0.961419,0
0.936429,0
0.935366,0
0.942847,0
0.931646,0
0.950784,0
0.949726,0
0.969466,0
0.950784,0
0.935366,0
0.915631,0
0.857758,0
0.9359,0
0.936233,0
0.909914,0
0.97337,0
0.940715,0
0.951403,0
0.929523,0
0.917855,0
0.956012,0
0.951403,0
0.966203,0
0.954086,0
0.953176,0
0.946404,0
0.939662,0
0.92794,0
0.942573,0
0.94447,0
0.945432,0
0.970583,0
0.916224,0
0.936003,0
0.914786,0
0.946404,0
0.92168,0
0.95557,0
0.937782,0
0.950784,0
0.947068,0
0.953468,0
0.947385,0
0.918378,0
0.946404,0
0.970989,0
0.915794,0
0.953468,0
0.952927,0
0.949375,0
0.952431,0
0.966809,0
0.950331,0
0.956012,0
0.967274,0
0.950384,0
0.960356,0
0.958792,0
0.97846,0
0.948146,0
0.926454,0
0.948678,0
0.953468,0
0.936003,0
0.961419,0
0.940778,0
0.960987,0
0.939099,0
0.943888,0
0.963572,0
0.966203,0
0.945999,0
0.907733,0
0.930123,0
0.97846,0
0.92168,0
0.957709,0
0.960356,0
0.690753,0
0.949726,0
0.95557,0
0.959302,0
0.97422,0
0.97422,0
0.97422,0
0.957709,0
0.949234,0
0.96993,0
0.960987,0
0.982697,0
0.975774,0
0.972057,0
0.970539,0
0.972057,0
0.922799,0
0.96784,0
0.961419,0
0.974717,0
0.950331,0
0.926409,0
0.97422,0
0.944455,0
0.970539,0
0.967274,0
0.93223,0
0.949234,0
0.956212,0
0.962491,0
0.951403,0
0.956212,0
0.965763,0
0.955161,0
0.959885,0
0.898948,0
0.954013,0
0.967274,0
0.97684,0
0.975316,0
0.958447,0
0.972057,0
0.949726,0
0.94778,0
0.967274,0
0.957223,0
0.970539,0
0.979,0
0.954514,0
0.962491,0
0.941214,0
0.962098,0
0.94778,0
0.962098,0
0.973134,0
0.944455,0
0.966872,0
0.952552,0
0.977534,0
0.977534,0
0.951851,0
0.956635,0
0.964663,0
0.957325,0
0.966203,0
0.975774,0
0.966872,0
0.972762,0
0.977534,0
0.963218,0
0.987479,0
0.982697,0
0.939677,0
0.966203,0
0.97367,0
0.958447,0
0.964663,0
0.929833,0
0.951437,0
0.989649,0
0.957325,0
0.952552,0
0.966203,0
0.968353,0
0.968353,0
0.958792,0
0.952552,0
0.963572,0
0.969441,0
0.975316,0
0.980093,0
0.951437,0
0.991855,0
0.979,0
0.979,0
0.964663,0
0.98856,0
0.960987,0
0.983779,0
0.958447,0
0.989649,0
0.975316,0
0.97422,0
0.957325,0
0.962016,0
0.980093,0
0.963218,0
0.944138,0
0.981196,0
0.991193,0
0.954811,0
0.972762,0
0.964348,0
0.964348,0
0.925065,0
0.97422,0
0.964348,0
0.97422,0
0.958447,0
0.957325,0
0.992971,0
0.953677,0
0.958447,0
0.958447,0
0.969441,0
0.962098,0
0.907158,0
0.990747,0
0.987081,0
0.990747,0
0.972762,0
0.97422,0
0.973887,0
0.966872,0
0.956212,0
0.939369,0
0.987081,0
0.983428,0
0.983428,0
0.950043,0
0.969441,0
0.985971,0
0.969117,0
0.970254,0
0.977534,0
0.917845,0
0.940509,0
0.97642,0
0.909622,0
0.9882,0
0.878738,0
0.972762,0
0.983428,0
0.945276,0
0.966872,0
0.977534,0
0.96799,0
0.959579,0
0.983779,0
0.983428,0
0.950043,0
0.992971,0
0.977534,0
0.977534,0
0.940509,0
0.9882,0
0.977534,0
0.983428,0
0.978657,0
0.969117,0
0.669799,0
0.964348,0
0.992971,0
0.96072,0
0.816772,0
0.969117,0
0.972762,0
0.977534,0
0.992971,0
0.983428,0
0.847689,0
0.943009,0
0.982307,0
0.972762,0
0.973887,0
0.992971,0
0.978657,0
0.9882,0
0.9882,0
0.9882,0
0.9882,0
0.970254,0
