@relation 'Ant17BugsBinary-weka.filters.unsupervised.attribute.Remove-R1-3,5-18,29-30-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,1-weka.filters.unsupervised.attribute.Normalize-S2.0-T-1.0-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.supervised.instance.SMOTE-C0-K5-P420.0-S1-weka.filters.unsupervised.attribute.Remove-R1-9'

@attribute 'd(WMC, Ca)' numeric
@attribute #BugsBinary {0,1}

@data
0.937438,0
0.712741,0
0.98636,0
0.997734,0
0.987435,0
0.956515,0
0.990717,0
0.959341,0
0.996615,0
0.998863,0
0.998863,0
0.938933,0
0.932749,0
0.981119,0
0.985293,0
0.990717,0
0.991829,0
0.98799,0
0.996615,0
0.983188,0
0.994404,0
0.98593,0
0.985293,0
0.992229,0
0.996615,0
0.997734,0
0.989614,0
0.94749,0
0.974172,0
0.990717,0
0.997734,0
0.948357,0
0.9256,0
0.941524,0
0.83793,0
0.996615,0
0.964262,0
0.971975,0
0.974148,0
0.951721,0
0.947461,0
0.984907,0
0.992229,0
0.975699,0
0.996615,0
0.997734,0
0.937915,0
0.984236,0
0.994404,0
0.984236,0
0.98636,0
0.997734,0
0.997734,0
0.990443,0
0.983729,0
0.97046,0
0.987435,0
1,0
0.995505,0
0.972542,0
0.699555,0
0.980926,0
0.917651,0
0.996615,0
0.962938,0
0.989614,0
0.968265,0
0.971334,0
0.949224,0
0.984907,0
0.963473,0
0.990091,0
0.951408,0
0.983729,0
0.998863,0
0.981119,0
0.962387,0
0.947123,0
0.994404,0
0.98852,0
0.994404,0
0.975234,0
0.971975,0
0.969878,0
0.994404,0
0.973411,0
0.984521,0
0.991155,0
0.854183,0
0.59366,0
0.979954,0
0.924056,0
0.964569,0
0.954899,0
0.959185,0
0.959185,0
0.964569,0
0.973217,0
0.993312,0
0.969042,0
0.909929,0
0.990091,0
0.981119,0
0.963473,0
0.974172,0
0.9561,0
0.960887,0
0.929843,0
0.96947,0
0.957096,0
0.908032,0
0.960204,0
0.900026,0
0.967327,0
0.956852,0
0.944666,0
0.912888,0
0.938697,0
0.916489,0
0.958019,0
0.480063,0
0.869678,0
0.960204,0
0.982898,0
0.950532,0
0.969353,0
0.949264,0
0.979436,0
0.959853,0
0.982898,0
0.973275,0
0.28065,0
0.973585,0
0.983898,0
0.985925,0
0.980099,0
0.981564,0
0.674533,0
0.992229,0
0.983729,0
0.98593,0
0.992229,0
0.983729,0
0.993312,0
0.990717,0
0.992229,0
0.993312,0
0.991829,0
0.989614,0
0.995505,0
0.996615,0
0.996615,0
0.997734,0
0.998863,0
0.950532,0
0.859048,0
0.707252,0
0.900235,0
0.934292,0
0.104627,0
0.947961,0
0.961959,0
0.562116,0
0.778654,0
0.832528,0
0.926984,0
0.954503,0
0.958487,0
0.931881,0
0.96651,0
0.959716,0
0.981907,0
0.967682,0
0.917338,0
0.948357,0
0.931807,0
0.965581,0
0.828762,0
0.927977,0
0.957643,0
0.938697,0
0.924061,0
0.930816,0
0.965678,0
0.97228,0
0.947147,0
0.960755,0
0.968464,0
0.946377,0
0.963751,0
0.978386,0
0.903232,0
0.955871,0
0.936631,0
0.941651,0
0.94822,0
0.967682,0
0.944788,0
0.924536,0
0.958921,0
0.94749,0
0.984907,0
0.982898,0
0.980099,0
0.974317,0
-1,0
0.96651,0
0.967448,0
0.962938,0
0.958843,0
0.982149,0
0.986953,0
0.958136,0
0.971509,0
0.971509,0
0.977094,0
0.965673,0
0.970485,0
0.96947,0
0.964661,0
0.931807,0
0.969878,0
0.959853,0
0.986953,0
0.985293,0
0.945853,0
0.983188,0
0.981119,0
0.974637,0
0.979436,0
0.978386,0
0.969353,0
0.989036,0
0.963985,0
0.978038,0
0.86699,0
0.969489,0
0.969878,0
0.962387,0
0.978086,0
0.974317,0
0.975292,0
0.96774,0
0.984907,0
0.975137,0
0.975292,0
0.985293,0
0.978038,0
0.981907,0
0.979954,0
0.978038,0
0.956515,0
0.976159,0
0.978038,0
0.978991,0
0.970485,0
0.983188,0
0.974148,0
0.97228,0
0.979954,0
0.964569,0
0.965041,0
0.961666,0
0.979436,0
0.956515,0
0.977346,0
0.980926,0
0.961311,0
0.979954,0
0.970902,0
0.929947,0
0.986953,0
0.98636,0
0.982898,0
0.985925,0
0.981119,0
0.969358,0
0.965503,0
0.967181,0
0.983898,0
0.989036,0
0.992229,0
0.983188,0
0.991155,0
0.945416,0
0.982149,0
0.986953,0
0.978938,0
0.980496,0
0.983729,0
0.984825,0
0.986953,0
0.977346,0
0.992229,0
0.966106,0
0.989036,0
0.917085,0
0.992229,0
0.978386,0
0.95978,0
0.967181,0
0.989036,0
0.699555,0
0.978386,0
0.989036,0
0.98799,0
0.983729,0
0.983729,0
0.983729,0
0.98636,0
0.982642,0
0.989036,0
0.984825,0
0.992229,0
0.985293,0
0.98636,0
0.989614,0
0.976769,0
0.989614,0
0.986953,0
0.985293,0
0.989036,0
0.993312,0
0.983898,0
0.993312,0
0.963473,0
0.989614,0
0.991155,0
0.984907,0
0.953892,0
0.984825,0
0.991155,0
0.975292,0
0.980036,0
0.97046,0
0.974317,0
0.993312,0
0.913048,0
0.968265,0
0.991155,0
0.98636,0
0.980036,0
0.977476,0
0.98636,0
0.983188,0
0.990717,0
0.98636,0
0.985925,0
0.989614,0
0.983729,0
0.98799,0
0.981564,0
0.989036,0
0.966787,0
0.995505,0
0.995505,0
0.977849,0
0.987435,0
0.995505,0
0.990717,0
0.996615,0
0.996615,0
0.980496,0
0.985293,0
0.964569,0
0.990717,0
0.985293,0
0.985293,0
0.976358,0
0.996615,0
0.991829,0
0.96791,0
0.987435,0
0.982642,0
0.992229,0
0.985293,0
0.983188,0
0.96791,0
0.964569,0
0.991829,0
0.989614,0
0.989614,0
0.98593,0
0.957218,0
0.970902,0
0.987435,0
0.987435,0
0.992229,0
0.962002,0
0.987435,0
0.98852,0
0.994404,0
0.984825,0
0.994404,0
0.996615,0
0.98852,0
0.98852,0
0.98852,0
0.98852,0
0.994404,0
0.98852,0
0.96791,0
0.989614,0
0.975248,0
0.98852,0
0.990717,0
0.9619,0
0.989614,0
0.991829,0
0.991829,0
0.98593,0
0.991155,0
0.959482,0
0.972693,0
0.969042,0
0.969042,0
0.939224,0
0.98852,0
0.992951,0
0.98852,0
0.96791,0
0.976358,0
0.997734,0
0.996615,0
0.991829,0
0.991829,0
0.993312,0
0.966787,0
0.930816,0
0.990717,0
0.991829,0
0.990717,0
0.98226,0
0.98852,0
0.992951,0
0.990717,0
0.960887,0
0.958346,0
0.987045,0
0.988168,0
0.988168,0
0.992951,0
0.98852,0
0.98593,0
0.992951,0
0.984521,0
0.991829,0
0.936749,0
0.992951,0
0.990717,0
0.918965,0
0.992951,0
0.878447,0
0.98226,0
0.988168,0
0.992951,0
0.98593,0
0.996615,0
0.991829,0
0.992951,0
0.983729,0
0.983386,0
0.992951,0
0.997734,0
0.991829,0
0.996615,0
0.988168,0
0.997734,0
0.98226,0
0.997734,0
0.992951,0
0.969042,0
0.669048,0
0.969042,0
0.992951,0
0.994081,0
0.816352,0
0.997734,0
0.987045,0
0.991829,0
0.992951,0
0.992951,0
0.847333,0
0.962002,0
0.996615,0
0.98226,0
0.992951,0
0.992951,0
0.997734,0
0.992951,0
0.992951,0
0.992951,0
0.992951,0
0.994081,0
0.997734,0
0.997734,0
0.997734,0
0.997734,0
0.991829,0
0.994081,0
0.972693,0
0.98226,0
0.98226,0
0.987045,0
0.979741,0
0.997734,0
0.992951,0
0.988168,0
0.989301,0
0.998863,0
0.998863,0
0.994081,0
0.998863,0
0.984521,0
0.912884,0
0.988168,0
0.988168,0
0.988168,0
0.994081,0
0.989301,0
0.989301,0
0.994081,0
0.985925,0
0.970184,0
0.979741,0
0.984521,0
0.98799,0
0.98799,0
0.982149,0
0.986953,0
0.98799,0
0.995221,0
0.989036,0
0.956862,0
0.990091,0
0.993312,0
0.990717,0
0.991155,0
0.989614,0
0.949102,0
0.995505,0
0.994404,0
0.987435,0
0.971334,0
0.994404,0
0.992229,0
0.995505,0
0.98636,0
0.995505,0
0.995505,0
0.996615,0
0.995221,0
0.989614,0
0.995505,0
0.990717,0
0.971572,0
0.994404,0
0.977476,0
0.996615,0
0.992951,0
0.996615,0
0.994404,0
0.989614,0
0.989614,0
0.991829,0
0.997734,0
0.995221,0
0.997734,0
0.994404,0
0.983729,0
0.991829,0
0.994404,0
0.996615,0
0.996615,0
0.921487,0
0.995505,0
0.991829,0
0.991829,0
0.833068,0
0.899756,0
0.996615,0
0.997734,0
0.996615,0
0.997734,0
0.991829,0
0.981144,0
0.997734,0
0.996615,0
0.88069,0
0.980887,0
0.998863,0
0.994081,0
0.991829,0
0.996615,0
0.994081,0
0.992951,0
0.989301,0
0.992951,0
0.992951,0
0.997734,0
0.963128,0
0.998863,0
0.994081,0
0.998863,0
0.998863,0
0.992951,0
0.992951,0
0.961783,0
0.980887,0
0.980887,0
0.985665,0
0.985665,0
0.985665,0
0.985665,0
0.985665,0
0.985665,0
0.990443,0
0.990443,0
0.990443,0
0.990443,0
0.990443,0
0.990443,0
0.992951,0
0.992951,0
0.994081,0
0.994081,0
0.994081,0
0.992951,0
0.992951,0
0.997734,0
0.994081,0
0.992951,0
0.994081,0
0.994081,0
0.978604,0
0.998863,0
0.998863,0
0.998863,0
0.994081,0
0.998863,0
0.998863,0
0.998863,0
0.979741,0
0.989301,0
0.998863,0
0.970184,0
0.979741,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
0.990443,0
1,0
1,0
1,0
1,0
0.890222,0
0.961783,0
0.980887,0
0.985665,0
0.990443,0
0.990443,0
0.995221,0
1,0
0.991594,0
0.99637,0
0.991594,0
0.99637,0
0.99637,0
0.991594,0
0.99637,0
0.99637,0
0.989036,1
0.948255,1
0.991829,1
0.98852,1
0.979954,1
0.771023,1
0.977476,1
0.969839,1
0.994404,1
0.975234,1
0.973057,1
0.973217,1
0.934779,1
0.975137,1
0.98636,1
0.97228,1
0.950987,1
0.924472,1
0.976159,1
0.939268,1
0.977094,1
0.940526,1
-0.798536,1
0.969489,1
0.871681,1
0.966792,1
0.905506,1
0.298423,1
0.698291,1
0.878029,1
0.927557,1
0.977094,1
0.984236,1
0.955446,1
0.895724,1
0.979954,1
0.981119,1
0.994404,1
0.996615,1
0.971509,1
0.963654,1
0.94001,1
0.933375,1
0.931817,1
0.895324,1
0.967327,1
0.944416,1
0.943409,1
0.961077,1
0.967448,1
0.960872,1
0.949224,1
0.962626,1
0.979088,1
0.926208,1
0.976314,1
0.970407,1
0.993312,1
0.978938,1
0.981564,1
0.98636,1
0.987045,1
0.991155,1
0.990717,1
0.993312,1
0.991829,1
0.996615,1
0.994081,1
0.992229,1
0.988168,1
0.992216,1
0.988941,1
0.989402,1
0.991004,1
0.988773,1
0.945913,1
0.933848,1
0.944653,1
0.937632,1
0.991829,1
0.991829,1
0.991829,1
0.990138,1
0.990039,1
0.989158,1
0.988789,1
0.989571,1
0.990805,1
0.977812,1
0.980823,1
0.975286,1
0.972812,1
0.91192,1
0.928188,1
0.856231,1
0.740101,1
0.983015,1
0.982441,1
0.98699,1
0.982445,1
0.972574,1
0.988131,1
0.983783,1
0.98445,1
0.979246,1
0.994117,1
0.993532,1
0.99153,1
0.98876,1
0.943592,1
0.969061,1
0.978919,1
0.976074,1
0.975957,1
0.990838,1
0.977167,1
0.976631,1
0.968008,1
0.972429,1
0.954797,1
0.97147,1
0.955088,1
0.973509,1
0.949526,1
0.957434,1
0.946848,1
0.970096,1
0.974003,1
0.97402,1
0.959642,1
0.97615,1
0.969821,1
0.968043,1
0.982139,1
0.957502,1
0.973502,1
0.946126,1
0.969339,1
0.949233,1
0.973253,1
0.979926,1
0.868503,1
0.829594,1
0.903333,1
0.774662,1
0.95147,1
0.950157,1
0.838393,1
0.861866,1
0.931236,1
0.971731,1
0.963775,1
0.976393,1
0.971405,1
0.942879,1
0.939723,1
0.954834,1
0.928213,1
0.967676,1
0.976894,1
0.953394,1
0.975432,1
0.965923,1
0.967639,1
0.946689,1
0.961566,1
0.402454,1
0.883393,1
-0.141076,1
0.2541,1
0.170452,1
0.974732,1
0.97635,1
0.950815,1
0.975447,1
0.918423,1
0.883511,1
0.896446,1
0.896308,1
0.96727,1
0.96717,1
0.965979,1
0.974679,1
0.924645,1
0.909771,1
0.929348,1
0.895707,1
0.468732,1
0.784912,1
0.430016,1
0.783227,1
0.842679,1
0.733381,1
0.72436,1
0.734818,1
0.881812,1
0.948451,1
0.887652,1
0.912246,1
0.89473,1
0.842042,1
0.866165,1
0.875771,1
0.970115,1
0.977356,1
0.978103,1
0.977526,1
0.961319,1
0.917259,1
0.976987,1
0.902751,1
0.973957,1
0.957218,1
0.963861,1
0.977591,1
0.940773,1
0.917448,1
0.861579,1
0.908909,1
0.900658,1
0.984969,1
0.973054,1
0.988888,1
0.987454,1
0.969202,1
0.977994,1
0.980848,1
0.977067,1
0.993894,1
0.992681,1
0.992132,1
0.994259,1
0.996615,1
0.982654,1
0.991808,1
0.996615,1
0.975704,1
0.975628,1
0.968617,1
0.972155,1
0.970526,1
0.969938,1
0.951954,1
0.973804,1
0.934973,1
0.936523,1
0.935525,1
0.91319,1
0.938459,1
0.932441,1
0.935787,1
0.96411,1
0.944311,1
0.959728,1
0.947597,1
0.944985,1
0.939694,1
0.910659,1
0.947085,1
0.93982,1
0.951027,1
0.967228,1
0.947775,1
0.955702,1
0.960952,1
0.958686,1
0.971118,1
0.945613,1
0.976557,1
0.943567,1
0.944378,1
0.948067,1
0.943619,1
0.972806,1
0.962491,1
0.963781,1
0.806494,1
0.933283,1
0.961224,1
0.89008,1
0.963429,1
0.962244,1
0.985348,1
0.963917,1
0.980777,1
0.960015,1
0.969461,1
0.954339,1
0.960984,1
0.973473,1
0.964784,1
0.975077,1
0.952244,1
0.967058,1
0.973122,1
0.973544,1
0.978283,1
0.95447,1
0.931168,1
0.933781,1
0.936535,1
0.976494,1
0.985414,1
0.969385,1
0.987635,1
0.978618,1
0.967744,1
0.972022,1
0.974742,1
0.971198,1
0.990489,1
0.987694,1
0.987107,1
0.96253,1
0.994665,1
0.996443,1
0.988246,1
0.981021,1
0.95684,1
0.992079,1
0.976061,1
0.973968,1
0.989154,1
0.974306,1
0.973651,1
0.987928,1
0.989405,1
0.995897,1
0.983705,1
0.991528,1
0.99508,1
0.991653,1
0.988941,1
0.988655,1
0.993098,1
0.980756,1
0.992374,1
0.991062,1
0.991428,1
0.992408,1
0.991971,1
0.993646,1
0.993072,1
0.993028,1
0.991838,1
0.992758,1
0.996289,1
0.992794,1
0.987106,1
0.994263,1
0.991871,1
0.991903,1
0.992384,1
0.994015,1
0.992152,1
0.993449,1
0.994053,1
0.99345,1
0.979573,1
0.991147,1
0.988458,1
0.988804,1
0.992368,1
0.988403,1
