@relation 'Ant17BugsBinary-weka.filters.unsupervised.attribute.Remove-R1-3,5-18,29-30-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,1-weka.filters.unsupervised.attribute.Normalize-S2.0-T-1.0-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.supervised.instance.SMOTE-C0-K5-P420.0-S1-weka.filters.unsupervised.attribute.Remove-R1-8,10'

@attribute 'd(WMC, Ce)' numeric
@attribute #BugsBinary {0,1}

@data
0.432412,0
0.879087,0
0.821343,0
0.907236,0
0.842063,0
0.823909,0
0.909483,0
0.416087,0
0.920817,0
0.962803,0
0.962803,0
0.780799,0
0.550998,0
0.744724,0
0.814216,0
0.909483,0
0.925625,0
0.744418,0
0.907166,0
0.796838,0
0.879087,0
0.890876,0
0.814216,0
0.842063,0
0.920817,0
0.927851,0
0.893353,0
0.68536,0
0.604184,0
0.882361,0
0.923466,0
0.508963,0
0.772541,0
0.248887,0
0.855443,0
0.911586,0
0.946676,0
0.850174,0
0.862853,0
0.839449,0
0.97412,0
0.714856,0
0.84663,0
0.839449,0
0.916137,0
0.951699,0
0.978942,0
0.784392,0
0.883711,0
0.823469,0
0.84003,0
0.932365,0
0.927851,0
0.978942,0
0.88229,0
0.888467,0
0.833335,0
0.978942,0
0.899919,0
0.747471,0
0.850174,0
0.654332,0
0.133731,0
0.890805,0
0.71206,0
0.879087,0
0.871452,0
0.555169,0
0.722291,0
0.710582,0
0.85133,0
0.828956,0
0.466802,0
0.872309,0
0.95321,0
0.711438,0
0.812817,0
0.39141,0
0.879087,0
0.872309,0
0.883711,0
0.51603,0
0.817011,0
0.428278,0
0.888467,0
0.501954,0
0.957944,0
0.835157,0
0.732773,0
0.477179,0
0.6581,0
0.84003,0
0.853929,0
0.596236,0
0.772541,0
0.791705,0
0.872309,0
0.592082,0
0.858324,0
0.932365,0
0.316817,0
0.814216,0
0.726923,0
0.84663,0
0.596236,0
0.898367,0
0.888467,0
0.620788,0
0.71726,0
0.744724,0
0.710582,0
0.404266,0
-0.086007,0
0.40744,0
0.618578,0
0.327877,0
0.056582,0
0.489968,0
0.228125,0
0.477446,0
0.38792,0
0.323641,0
0.488906,0
0.711438,0
0.432412,0
0.621933,0
0.552105,0
0.793343,0
0.671504,0
0.68678,0
0.691424,0
0.818114,0
0.802105,0
0.674918,0
0.74006,0
0.748767,0
0.855443,0
0.828956,0
0.84663,0
0.862853,0
0.895332,0
0.85133,0
0.887474,0
0.872309,0
0.909483,0
0.84663,0
0.872309,0
0.911586,0
0.874595,0
0.886552,0
0.920817,0
0.925625,0
0.932365,0
0.95321,0
0.396678,0
0.210576,0
0.371012,0
0.293328,0
0.395551,0
0.492885,0
0.397336,0
0.453462,0
0.508963,0
0.583494,0
0.514114,0
0.522979,0
0.416087,0
0.399774,0
-0.083666,0
0.588752,0
0.636829,0
0.657379,0
0.494473,0
0.552446,0
0.45156,0
0.578219,0
0.519421,0
0.615626,0
0.63691,0
0.402302,0
0.530503,0
0.61012,0
0.64209,0
0.728541,0
0.67055,0
0.332592,0
0.534639,0
0.696213,0
0.258428,0
0.468237,0
0.763793,0
0.706455,0
0.652886,0
0.504148,0
0.698642,0
0.675236,0
0.459965,0
0.768097,0
0.739217,0
0.552105,0
0.735538,0
0.698642,0
0.696213,0
0.733388,0
0.556783,0
0.754169,0
0.555169,0
0.61012,0
0.756295,0
0.706221,0
0.756295,0
0.760919,0
0.770584,0
0.711438,0
0.735538,0
0.61012,0
0.360178,0
0.748767,0
0.727462,0
0.71726,0
0.495003,0
0.413489,0
0.703021,0
0.751812,0
0.814216,0
0.81289,0
0.755612,0
0.735538,0
0.780125,0
0.793343,0
0.777125,0
0.664575,0
0.784392,0
0.777125,0
0.583744,0
0.780799,0
0.546218,0
0.466083,0
0.804844,0
0.722291,0
0.546218,0
0.733388,0
0.743272,0
0.694958,0
0.6581,0
0.733388,0
0.814216,0
0.620788,0
0.680068,0
0.642898,0
0.605752,0
0.805066,0
0.578386,0
0.610614,0
0.626749,0
0.759707,0
0.744418,0
0.849668,0
0.653288,0
0.642898,0
0.845543,0
0.81289,0
0.668958,0
0.788798,0
0.828956,0
0.765682,0
0.659061,0
0.796466,0
0.642898,0
0.839449,0
0.856164,0
0.756295,0
0.817011,0
0.691424,0
0.74006,0
0.759555,0
0.867515,0
0.668958,0
0.855443,0
0.707624,0
0.793343,0
0.837631,0
0.802105,0
0.812817,0
0.833991,0
0.751812,0
0.756295,0
0.845543,0
0.818995,0
0.845543,0
0.879087,0
0.743272,0
0.756295,0
0.842063,0
0.839449,0
0.780125,0
0.807801,0
0.813921,0
0.802105,0
0.849668,0
0.825812,0
0.793343,0
0.845036,0
0.777125,0
0.788798,0
0.777125,0
0.867515,0
0.867515,0
0.867515,0
0.821343,0
0.837631,0
0.802845,0
0.874595,0
0.861129,0
0.828956,0
0.84003,0
0.879087,0
0.850174,0
0.843514,0
0.770584,0
0.814216,0
0.807801,0
0.845543,0
0.68607,0
0.867515,0
0.85133,0
0.883711,0
0.830417,0
0.706455,0
0.866225,0
0.874595,0
0.825812,0
0.733388,0
0.879087,0
0.888467,0
0.562295,0
0.853929,0
0.888467,0
0.856164,0
0.830417,0
0.845036,0
0.898367,0
0.916137,0
0.84003,0
0.772541,0
0.878304,0
0.835157,0
0.744724,0
0.883711,0
0.88229,0
0.772541,0
0.835157,0
0.775999,0
0.904636,0
0.874381,0
0.886552,0
0.861129,0
0.829176,0
0.890876,0
0.882361,0
0.916137,0
0.916137,0
0.809572,0
0.809572,0
0.887474,0
0.886552,0
0.818995,0
0.828956,0
0.909483,0
0.911586,0
0.916137,0
0.925625,0
0.871452,0
0.871452,0
0.82127,0
0.818995,0
0.796838,0
0.925625,0
0.887474,0
0.879942,0
0.86601,0
0.903511,0
0.890876,0
0.914458,0
0.834137,0
0.85133,0
0.84663,0
0.837631,0
0.909483,0
0.84663,0
0.867515,0
0.883711,0
0.898367,0
0.861919,0
0.930561,0
0.877234,0
0.877234,0
0.862853,0
0.887474,0
0.870236,0
0.88229,0
0.925625,0
0.903511,0
0.903511,0
0.872309,0
0.886552,0
0.775623,0
0.893353,0
0.907166,0
0.890805,0
0.914458,0
0.855443,0
0.941779,0
0.930561,0
0.941779,0
0.941779,0
0.920817,0
0.872309,0
0.923466,0
0.872309,0
0.925625,0
0.882361,0
0.946676,0
0.894696,0
0.902877,0
0.902877,0
0.862853,0
0.914458,0
0.927851,0
0.91956,0
0.930561,0
0.91956,0
0.925625,0
0.867515,0
0.932365,0
0.890876,0
0.898367,0
0.916137,0
0.935623,0
0.946676,0
0.946676,0
0.911096,0
0.867515,0
0.91956,0
0.927851,0
0.948604,0
0.920817,0
0.944125,0
0.903511,0
0.899919,0
0.909483,0
0.946676,0
0.887474,0
0.925625,0
0.946676,0
0.907236,0
0.899919,0
0.916137,0
0.907166,0
0.919211,0
0.887474,0
0.951699,0
0.911096,0
0.946676,0
0.920817,0
0.916137,0
0.907236,0
0.941779,0
0.930561,0
0.937008,0
0.937008,0
0.951699,0
0.951699,0
0.946676,0
0.951699,0
0.935554,0
0.951699,0
0.923466,0
0.920817,0
0.920817,0
0.951699,0
0.941779,0
0.91956,0
0.899919,0
0.920817,0
0.925625,0
0.932365,0
0.951699,0
0.932365,0
0.946676,0
0.946676,0
0.946676,0
0.946676,0
0.944125,0
0.932365,0
0.932365,0
0.937008,0
0.946676,0
0.925625,0
0.957944,0
0.930561,0
0.920817,0
0.916137,0
0.920817,0
0.962803,0
0.937008,0
0.946676,0
0.951699,0
0.967787,0
0.957944,0
0.957944,0
0.962803,0
0.948604,0
0.962803,0
0.957944,0
0.927851,0
0.951699,0
0.946676,0
0.957944,0
0.962803,0
0.967787,0
0.967787,0
0.726923,0
0.967787,0
0.967787,0
0.957944,0
0.763793,0
0.777125,0
0.751812,0
0.756295,0
0.768097,0
0.983888,0
0.784392,0
0.526356,0
0.809572,0
0.858324,0
0.882361,0
0.821343,0
0.870236,0
0.85133,0
0.886552,0
0.879087,0
0.856164,0
0.983888,0
0.888467,0
0.842063,0
0.895332,0
0.845036,0
0.899919,0
0.895332,0
0.920817,0
0.983888,0
0.888467,0
0.904636,0
0.895332,0
0.904636,0
0.883711,0
0.916137,0
0.902877,0
0.941779,0
0.907166,0
0.888467,0
0.898367,0
0.898367,0
0.930561,0
0.923466,0
0.983888,0
0.937008,0
0.888467,0
0.88229,0
0.920817,0
0.898367,0
0.920817,0
0.879942,0
0.88229,0
0.909483,0
0.920817,0
0.930561,0
0.978942,0
0.978942,0
0.920817,0
0.937008,0
0.920817,0
0.932365,0
0.916137,0
0.91956,0
0.927851,0
0.916137,0
0.978942,0
0.983888,0
0.939775,0
0.935554,0
0.930561,0
0.916137,0
0.927503,0
0.932365,0
0.935554,0
0.937008,0
0.937008,0
0.937008,0
0.930561,0
0.957944,0
0.939775,0
0.957944,0
0.95321,0
0.932365,0
0.937008,0
0.97412,0
0.97412,0
0.983888,0
0.978942,0
0.978942,0
0.978942,0
0.97412,0
0.983888,0
0.978942,0
0.983888,0
0.978942,0
0.983888,0
0.97412,0
0.97412,0
0.978942,0
0.937008,0
0.937008,0
0.944125,0
0.957944,0
0.967787,0
0.937008,0
0.951699,0
0.946676,0
0.95321,0
0.951699,0
0.95321,0
0.95321,0
0.941779,0
0.957944,0
0.962803,0
0.962803,0
0.957944,0
0.957944,0
0.957944,0
0.957944,0
0.957944,0
0.967787,0
0.967787,0
0.967787,0
0.957944,0
0.978942,0
0.978942,0
0.978942,0
0.978942,0
0.978942,0
0.978942,0
0.978942,0
0.978942,0
0.983888,0
0.983888,0
0.978942,0
0.983888,0
0.983888,0
0.978942,0
0.969423,0
0.978942,0
0.978942,0
0.983888,0
0.983888,0
0.978942,0
0.990307,0
0.990307,0
1,0
1,0
1,0
0.990307,0
1,0
1,0
0.793343,1
0.13009,1
0.911586,1
0.845543,1
0.633503,1
0.018046,1
0.920817,1
0.823469,1
0.861919,1
0.526702,1
0.866225,1
0.547244,1
0.552105,1
0.598807,1
0.812817,1
0.67055,1
0.085295,1
0.274558,1
0.546987,1
0.172009,1
0.567366,1
0.546218,1
-1,1
0.522545,1
-0.318174,1
0.430116,1
-0.080371,1
0.0095,1
-0.054243,1
0.428278,1
-0.156058,1
0.653288,1
0.788798,1
0.818114,1
-0.64309,1
0.633503,1
0.704583,1
0.874595,1
0.907166,1
0.681254,1
0.648544,1
0.177181,1
0.248991,1
0.232135,1
0.67055,1
0.402302,1
0.696213,1
0.700833,1
0.47173,1
0.552446,1
0.719274,1
0.654974,1
0.621278,1
0.668242,1
0.732773,1
0.744724,1
0.552446,1
0.837704,1
0.88229,1
0.84003,1
0.804844,1
0.894696,1
0.830417,1
0.886552,1
0.867515,1
0.89872,1
0.916137,1
0.935554,1
0.837631,1
0.923466,1
0.795971,1
0.796029,1
0.80111,1
0.81928,1
0.831103,1
0.157915,1
0.159897,1
0.067136,1
0.078214,1
0.911045,1
0.903475,1
0.904805,1
0.897563,1
0.862688,1
0.83379,1
0.8153,1
0.855518,1
0.859197,1
0.625711,1
0.644602,1
0.605063,1
0.650596,1
0.05223,1
0.075166,1
-0.136124,1
-0.047232,1
0.878233,1
0.916352,1
0.920947,1
0.910397,1
0.82024,1
0.842007,1
0.829379,1
0.83148,1
0.824872,1
0.85337,1
0.872044,1
0.850157,1
0.861618,1
0.541514,1
0.527564,1
0.640309,1
0.526822,1
0.883741,1
0.86035,1
0.899271,1
