@relation 'Ant17BugsBinary-weka.filters.unsupervised.attribute.Remove-R1-3,5-18,29-30-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,1-weka.filters.unsupervised.attribute.Normalize-S2.0-T-1.0-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.supervised.instance.SMOTE-C0-K5-P420.0-S1-weka.filters.unsupervised.attribute.Remove-R1-2,4-10'

@attribute 'd(WMC,FANIN)' numeric
@attribute #BugsBinary {0,1}

@data
0.922809,0
0.916509,0
0.974684,0
0.989563,0
0.981896,0
0.933184,0
0.992163,0
0.937936,0
0.982305,0
0.991134,0
0.991134,0
0.917286,0
0.924915,0
0.97311,0
0.978917,0
0.986459,0
0.988005,0
0.975988,0
0.988005,0
0.970262,0
0.984926,0
0.969353,0
0.973198,0
0.981896,0
0.982305,0
0.989563,0
0.990633,0
0.938727,0
0.957682,0
0.980756,0
0.989563,0
0.88514,0
0.895899,0
0.914968,0
0.911862,0
0.988005,0
0.972477,0
0.95754,0
0.954865,0
0.961761,0
0.98134,0
0.965954,0
0.976183,0
0.961761,0
0.988005,0
0.995261,0
0.992717,0
0.966001,0
0.984926,0
0.971724,0
0.974684,0
0.989563,0
0.989563,0
0.998408,0
0.971986,0
0.916509,0
0.981896,0
0.998408,0
0.986459,0
0.871543,0
0.571415,0
0.960388,0
0.908766,0
0.993706,0
0.945904,0
0.973514,0
0.959049,0
0.953719,0
0.928711,0
0.965954,0
0.913398,0
0.973198,0
0.946142,0
0.977695,0
0.996828,0
0.676198,0
0.911862,0
0.922809,0
0.979219,0
0.983405,0
0.984926,0
0.889045,0
0.923276,0
0.950708,0
0.984926,0
0.949873,0
0.991134,0
0.9804,0
0.815619,0
0.524641,0
0.96478,0
0.95754,0
0.954865,0
0.934673,0
0.970262,0
0.953089,0
0.914947,0
0.956348,0
0.926348,0
0.972477,0
0.877649,0
0.973198,0
0.967378,0
0.913398,0
0.957682,0
0.956403,0
0.90512,0
0.904567,0
0.953068,0
0.904373,0
0.891463,0
0.933362,0
0.792579,0
0.941351,0
0.943149,0
0.91357,0
0.87295,0
0.919754,0
0.849999,0
0.931297,0
0.440115,0
0.899648,0
0.939143,0
0.900036,0
0.933362,0
0.905928,0
0.944102,0
0.834637,0
0.947332,0
0.677125,0
0.945925,0
0.908828,0
0.964537,0
0.964544,0
0.967378,0
0.965954,0
0.963254,0
-0.641055,0
0.976183,0
0.971986,0
0.975054,0
0.976183,0
0.971986,0
0.983405,0
0.986459,0
0.981896,0
0.983405,0
0.988005,0
0.984926,0
0.986459,0
0.988005,0
0.993706,0
0.995261,0
0.996828,0
0.916021,0
0.55581,0
0.671185,0
0.866053,0
0.902029,0
-0.354392,0
0.819878,0
0.883865,0
0.56763,0
0.506668,0
0.821744,0
0.900562,0
0.920585,0
0.919383,0
0.894595,0
0.563663,0
0.625316,0
0.607238,0
0.925525,0
0.912082,0
0.839026,0
0.900562,0
0.935131,0
0.675195,0
0.90869,0
0.929771,0
0.919754,0
0.926238,0
0.911676,0
0.874293,0
0.89288,0
0.921855,0
0.940895,0
0.722732,0
0.926587,0
0.921025,0
0.741951,0
0.880016,0
0.947529,0
0.917843,0
0.94302,0
0.927307,0
0.942842,0
0.901614,0
0.905845,0
0.938332,0
0.938727,0
0.954485,0
0.905769,0
0.937288,0
0.939607,0
-1,0
0.947957,0
0.949268,0
0.934455,0
0.951664,0
0.945904,0
0.957357,0
0.911565,0
0.961646,0
0.892929,0
0.949268,0
0.939034,0
0.954485,0
0.953068,0
0.953068,0
0.946659,0
0.944925,0
0.941596,0
0.683497,0
0.739489,0
0.943122,0
0.964537,0
0.961646,0
0.95456,0
0.94884,0
0.673773,0
0.951929,0
0.686766,0
0.935923,0
0.956348,0
0.894407,0
0.951142,0
0.944925,0
0.951827,0
0.963146,0
0.951142,0
0.960219,0
0.963085,0
0.965954,0
0.959029,0
0.948752,0
0.967479,0
0.956348,0
0.961761,0
0.959029,0
0.956348,0
0.938898,0
0.953719,0
0.956348,0
0.957682,0
0.960219,0
0.970262,0
0.960571,0
0.961761,0
0.959029,0
0.914947,0
0.95456,0
0.948895,0
0.96028,0
0.887507,0
0.963085,0
0.960388,0
0.967479,0
0.959029,0
0.944612,0
0.924805,0
0.968814,0
0.968969,0
0.963146,0
0.967378,0
0.967378,0
0.909249,0
0.953279,0
0.951827,0
0.964544,0
0.971724,0
0.96476,0
0.970262,0
0.974684,0
0.932049,0
0.968814,0
0.968814,0
0.94916,0
0.967479,0
0.960571,0
0.933601,0
0.968814,0
0.968814,0
0.96476,0
0.944612,0
0.971724,0
0.914541,0
0.976183,0
0.964537,0
0.94916,0
0.95754,0
0.971724,0
0.871942,0
0.970262,0
0.971724,0
0.970262,0
0.94916,0
0.94916,0
0.94916,0
0.974684,0
0.970471,0
0.971724,0
0.967809,0
0.976183,0
0.973198,0
0.974684,0
0.962105,0
0.968969,0
0.979219,0
0.968814,0
0.973198,0
0.971724,0
0.977695,0
0.970282,0
0.977695,0
0.95334,0
0.967809,0
0.968969,0
0.97169,0
0.93051,0
