@relation 'Ant17BugsBinary-weka.filters.unsupervised.attribute.Remove-R1-3,5-18,29-30-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,1-weka.filters.unsupervised.attribute.Normalize-S2.0-T-1.0-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.supervised.instance.SMOTE-C0-K5-P865.0-S1-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.attribute.Remove-R1-5,7,9-10-weka.filters.unsupervised.attribute.Remove-R1'

@attribute 'd(LOC, Ca)' numeric
@attribute #BugsBinary {0,1}

@data
0.776755,1
0.962419,0
0.901001,1
0.827254,1
0.972234,1
0.777008,1
0.772652,0
0.877958,0
0.500802,1
0.948538,0
0.738117,1
0.623632,1
0.938887,0
0.40462,1
0.999352,0
0.909778,0
0.11016,1
0.803497,0
0.714279,0
0.875294,0
0.858053,0
0.967354,0
0.911242,0
0.994196,0
0.994959,0
0.78603,1
0.894101,1
0.516538,1
0.804817,1
0.645333,1
0.927235,1
0.77555,1
0.993548,0
0.867772,0
0.688043,1
0.789526,1
0.907483,1
0.994196,0
0.957594,0
0.451444,1
0.631233,1
0.421099,1
-0.175019,1
-0.010624,1
0.438188,0
0.851247,1
0.978524,0
0.73312,1
0.976626,0
0.381297,0
0.468105,1
0.877527,0
0.983947,0
0.620102,1
0.473918,1
0.963179,0
0.764469,0
0.953378,1
0.980531,0
0.99724,0
-0.161423,1
0.901429,0
0.998864,0
0.862464,0
0.898442,1
0.907048,1
0.910266,0
0.81006,1
0.999459,0
0.909008,1
0.960034,0
0.239845,1
0.463,0
0.69948,0
0.473832,1
0.910214,1
0.834482,1
0.900941,0
0.025798,1
0.977226,0
0.507128,1
0.947292,0
0.903066,1
0.00589,1
0.667519,0
0.901373,0
0.124223,1
0.994631,0
0.846874,0
0.854433,0
0.987798,0
-0.045349,1
0.999352,0
0.738558,1
0.9049,1
0.054264,1
0.983405,0
0.988339,0
0.991702,0
0.857587,0
0.945231,1
0.893949,1
0.998878,0
0.854604,0
0.166801,0
0.940868,1
0.964859,0
0.979447,0
0.983786,0
0.925657,0
0.909387,1
0.905764,0
0.101411,1
