@relation 'Ant17BugsBinary-weka.filters.unsupervised.attribute.Remove-R1-3,5-18,29-30-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,1-weka.filters.unsupervised.attribute.Normalize-S2.0-T-1.0-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.supervised.instance.SMOTE-C0-K5-P865.0-S1-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.attribute.Remove-R1-5,7-10'

@attribute 'd(LOC, CBO)' numeric
@attribute #BugsBinary {0,1}

@data
0.807753,1
0.962166,0
0.902514,1
0.823724,1
0.972138,1
0.776513,1
0.772755,0
0.877844,0
0.496826,1
0.948507,0
0.744615,1
0.657821,1
0.938914,0
0.403044,1
0.999406,0
0.909596,0
0.122312,1
0.803586,0
0.713979,0
0.875294,0
0.858004,0
0.967422,0
0.911059,0
0.994306,0
0.995015,0
0.78578,1
0.896443,1
0.433106,1
0.786436,1
0.615959,1
0.923038,1
0.774514,1
0.993604,0
0.867943,0
0.668166,1
0.800647,1
0.900885,1
0.994252,0
0.957558,0
0.474149,1
0.643833,1
0.405256,1
-0.089031,1
-0.108678,1
0.436864,0
0.851028,1
0.978426,0
0.753553,1
0.976529,0
0.379921,0
0.426856,1
0.877468,0
0.9839,0
0.614936,1
0.469801,1
0.963196,0
0.763806,0
0.949486,1
0.980593,0
0.997137,0
-0.204588,1
0.901584,0
0.998865,0
0.862298,0
0.894957,1
0.909929,1
0.910029,0
0.809744,1
0.999512,0
0.909638,1
0.959997,0
0.238997,1
0.462378,0
0.699428,0
0.395128,1
0.910809,1
0.840462,1
0.900707,0
0.088513,1
0.977184,0
0.503174,1
0.947424,0
0.903867,1
-0.00269,1
0.667044,0
0.901195,0
0.120927,1
0.99458,0
0.846504,0
0.854611,0
0.987857,0
-0.113609,1
0.999459,0
0.739604,1
0.904719,1
-0.061526,1
0.983359,0
0.988345,0
0.991653,0
0.857366,0
0.945364,1
0.881517,1
0.998932,0
0.854328,0
0.166258,0
0.953969,1
0.964767,0
0.979402,0
0.983793,0
0.925581,0
0.909428,1
0.905639,0
0.100822,1
0.75454,1
0.777684,0
0.51497,1
0.831758,0
0.987857,0
0.876482,1
-0.226632,1
0.906669,0
0.801797,1
0.865973,0
0.545887,1
0.908565,1
0.876868,0
0.829027,1
0.895509,0
0.857422,1
0.953934,1
0.653399,1
0.925745,0
0.902603,0
0.785097,1
0.449815,1
0.596247,1
0.943363,1
0.734291,1
0.910894,1
0.953493,0
0.171902,1
0.649243,1
0.936042,0
0.999459,0
0.957148,1
0.874278,1
0.94726,0
0.602595,1
0.961191,0
-0.292494,1
0.923252,0
0.928836,0
0.994199,0
0.819658,0
0.999512,0
0.652251,1
0.558429,1
0.975446,0
0.846811,1
0.997889,0
0.94726,0
0.872856,0
0.99474,0
0.494528,1
0.980378,0
0.97431,0
0.306433,1
0.561463,0
-0.00203,0
0.949429,0
0.609473,0
0.739957,1
0.895509,0
0.97913,0
-0.122722,1
0.933768,0
0.420688,1
0.410537,1
0.68318,1
0.663131,1
0.909651,1
0.970611,1
0.885925,0
0.974416,0
0.959967,1
0.813558,1
0.907214,1
0.826654,0
0.890954,0
0.705551,1
0.732422,1
0.559854,1
0.831161,1
0.96625,1
0.861356,0
-0.021236,0
0.952477,1
0.106117,1
0.967251,1
0.72908,1
0.773719,1
0.810579,1
0.494165,1
0.496044,1
0.126149,1
0.780455,1
0.810771,1
0.999512,0
0.98531,0
0.964659,0
0.570239,1
0.996638,0
0.686929,1
0.993657,0
-0.192762,1
0.878499,0
0.848844,1
0.947748,0
-0.397018,1
0.910134,1
0.779344,0
0.591196,1
0.638193,1
0.785414,1
0.997667,0
0.70225,1
0.893827,1
0.581805,1
0.971704,0
0.990891,0
0.92412,1
0.580554,1
0.199534,1
0.752662,1
0.814956,1
0.765464,1
0.570273,1
0.998971,0
0.927679,1
0.716035,1
0.652957,1
0.761839,0
0.590773,0
0.870586,0
0.987189,0
0.616327,1
0.816221,1
0.620037,1
0.965255,0
0.634012,1
0.656062,1
0.70157,0
0.604246,1
0.621534,0
-0.280495,1
0.941298,0
-0.185738,1
0.943901,0
0.430178,0
0.980615,0
0.013202,1
0.489876,0
0.938969,0
0.929916,0
0.560421,1
0.543293,1
0.999947,0
0.985745,0
0.514777,1
0.081656,1
0.959239,0
0.945852,0
0.89871,1
0.91208,1
0.745466,1
0.571904,0
0.973168,0
0.461892,1
0.971704,0
-0.26821,1
0.920216,0
0.859755,1
-0.380631,1
0.970122,1
0.981027,0
0.904664,0
0.652581,1
0.722002,1
0.996735,0
0.989374,0
0.94401,0
0.808532,0
0.929754,0
0.754888,1
0.579727,1
0.104429,1
0.994145,0
0.757951,1
0.99035,0
0.790939,1
0.96381,1
