@relation 'Ant17BugsBinary-weka.filters.unsupervised.attribute.Remove-R1-3,5-18,29-30-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,1-weka.filters.unsupervised.attribute.Normalize-S2.0-T-1.0-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.supervised.instance.SMOTE-C0-K5-P865.0-S1-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.attribute.Remove-R1-4,6-10'

@attribute 'd(Qi,CBO)' numeric
@attribute #BugsBinary {0,1}

@data
0.913266,1
0.96793,0
0.971914,1
0.971133,1
0.983965,1
0.96063,1
0.883745,0
0.971942,0
0.881681,1
0.96793,0
0.929088,1
0.968362,1
0.979956,0
0.902173,1
0.979956,0
0.975947,0
0.70353,1
0.891762,0
0.963925,0
0.963921,0
0.94789,0
0.995991,0
0.975947,0
1,0
0.979956,0
0.952482,1
0.965376,1
0.942215,1
0.947438,1
0.942312,1
0.96711,1
0.948166,1
0.983965,0
0.995991,0
0.935282,1
0.936945,1
0.962518,1
0.995991,0
0.987974,0
0.859626,1
0.955696,1
0.884333,1
0.042672,1
0.891854,1
0.859696,0
0.971938,1
0.97996,0
0.961202,1
0.983966,0
0.883749,0
0.892375,1
0.979956,0
0.987974,0
0.950247,1
0.879943,1
0.971942,0
0.93987,0
0.97598,1
0.995991,0
0.955903,0
0.861184,1
0.995991,0
0.975947,0
0.975951,0
0.967322,1
0.966438,1
0.971939,0
0.940096,1
0.987974,0
0.974268,1
0.987974,0
0.89978,1
0.719386,0
0.96793,0
0.887385,1
0.968856,1
0.963325,1
0.96793,0
0.927576,1
0.959913,0
0.956325,1
0.995991,0
0.961,1
0.887453,1
0.951899,0
0.967932,0
0.458511,1
0.983965,0
0.891767,0
0.983965,0
0.991982,0
0.898847,1
0.983965,0
0.928769,1
0.975951,1
0.772065,1
0.983965,0
0.991982,0
0.983965,0
0.971938,0
0.987974,1
0.962081,1
0.943877,0
0.963921,0
0.895775,0
0.964876,1
0.97996,0
0.979957,0
0.979958,0
0.96793,0
0.981818,1
0.971938,0
0.795556,1
0.963922,1
0.955903,0
0.883135,1
0.987977,0
0.991982,0
0.974427,1
0.800174,1
0.903793,0
0.949111,1
0.959916,0
0.849862,1
0.971938,1
0.971939,0
0.971958,1
0.97996,0
0.975951,1
0.9581,1
0.943477,1
0.97996,0
0.963925,0
0.938258,1
0.895851,1
0.948645,1
0.970153,1
0.930406,1
0.963922,1
0.975948,0
0.896018,1
0.98322,1
0.983965,0
0.983965,0
0.97452,1
0.907168,1
0.983969,0
0.943428,1
0.96793,0
0.860753,1
0.975947,0
0.991982,0
0.991986,0
0.959916,0
0.987974,0
0.939872,1
0.959753,1
0.975951,0
0.983965,1
0.975947,0
0.983969,0
0.963921,0
0.995991,0
0.905267,1
0.979956,0
0.963923,0
0.900626,1
0.923834,0
0.991982,0
0.963925,0
0.943878,0
0.935646,1
0.979956,0
0.995991,0
0.755466,1
0.995991,0
0.946421,1
0.898958,1
0.937352,1
0.975422,1
0.979957,1
0.982163,1
0.991982,0
0.971941,0
0.987927,1
0.921448,1
0.958998,1
0.971942,0
0.96793,0
0.929003,1
0.975959,1
0.883749,1
0.962501,1
0.965107,1
0.871719,0
0.871723,0
0.97368,1
0.813398,1
0.983164,1
0.927845,1
0.945192,1
0.903793,1
0.947859,1
0.87974,1
0.433695,1
0.975727,1
0.934479,1
0.987974,0
0.983965,0
0.971938,0
0.947819,1
0.991982,0
0.933419,1
0.987974,0
0.859731,1
0.983965,0
0.981843,1
0.983965,0
0.823141,1
0.943877,1
0.935863,0
0.951898,1
0.943879,1
0.931432,1
0.995991,0
0.928704,1
0.970497,1
0.949898,1
0.987974,0
1,0
0.964955,1
0.960484,1
0.798909,1
0.951195,1
0.971938,1
0.933362,1
0.92884,1
0.983965,0
0.965354,1
0.941995,1
0.959166,1
0.971938,0
0.899784,0
0.975947,0
0.903789,0
0.958045,1
0.913919,1
0.947527,1
0.979956,0
0.955841,1
0.93037,1
0.915819,0
0.951898,1
0.967932,0
0.773456,1
0.975947,0
0.569359,1
0.987974,0
0.895775,0
0.923833,0
0.779886,1
0.94789,0
0.983965,0
0.963923,0
0.912592,1
0.966454,1
0.983965,0
0.97996,0
0.958762,1
0.912517,1
0.96793,0
0.987974,0
0.967474,1
0.96789,1
0.934155,1
0.96793,0
0.987978,0
0.843661,1
0.987974,0
0.808679,1
0.967932,0
0.978432,1
0.872262,1
0.972396,1
0.991982,0
0.971938,0
0.949731,1
0.957869,1
0.847666,0
0.995991,0
0.995991,0
0.262386,0
0.951899,0
0.966715,1
0.949162,1
0.839603,1
0.987974,0
0.933724,1
0.995991,0
0.935278,1
0.964664,1
0.947886,1
0.975831,1
0.967865,1
0.912143,1
0.927842,1
0.855688,1
0.965764,1
-0.361442,1
0.983965,0
0.995991,0
0.979956,0
0.97595,0
0.880926,1
0.985696,1
0.960457,1
0.955907,0
0.962128,1
0.955907,0
0.975947,0
0.96241,1
0.975951,1
0.995991,0
0.944492,1
0.967931,0
0.962455,1
0.955904,0
0.946521,1
0.903793,0
0.923837,0
0.979956,0
0.96793,0
0.954947,1
0.886064,1
0.949785,1
0.777379,1
0.88248,1
0.951898,1
0.919825,0
0.963055,1
0.987974,0
0.929024,1
0.936677,1
0.90677,1
0.971941,0
0.953884,1
0.915399,1
0.804995,1
0.987974,0
0.933255,1
0.935863,0
0.95676,1
0.963921,0
0.971939,0
0.93185,0
0.947451,1
0.969412,1
0.927844,0
0.986871,1
0.948656,1
0.959916,1
0.959916,1
0.870165,1
0.971938,1
0.960723,1
0.954031,1
0.955907,1
0.936283,1
0.931855,1
0.934574,1
0.975387,1
0.938812,1
0.983967,0
0.958957,1
0.850551,1
0.951895,0
0.979956,0
0.975947,0
0.931515,1
0.964711,1
0.959446,1
0.983967,0
0.865448,1
0.983965,0
0.507353,1
0.96264,1
0.967934,0
0.979989,1
0.967934,0
0.939872,0
0.926753,1
0.987974,0
0.935861,0
0.949772,1
0.86998,1
0.949576,1
0.814248,1
0.97595,1
0.936896,1
0.967931,0
0.94501,1
0.991982,0
0.798142,1
0.979353,1
0.971938,0
0.979956,0
0.97996,0
0.947438,1
0.64422,1
0.979956,0
0.884369,1
0.94283,1
-0.092605,1
0.991984,0
0.979958,0
0.965211,1
0.892569,1
0.955904,1
0.802761,1
0.979956,0
0.981892,1
0.895088,1
0.793576,1
0.887758,1
0.859695,0
0.975947,0
0.919824,0
0.967934,0
0.979956,0
0.983965,0
0.843773,1
0.979956,0
0.991982,0
0.9562,1
0.987974,0
0.857018,1
0.952982,1
0.96793,0
0.967934,0
0.987974,0
0.951894,0
0.852445,1
0.981648,1
0.995991,0
0.991982,0
0.983965,0
0.967934,1
0.919827,0
0.987974,0
0.967934,0
0.970548,1
0.871011,1
0.935863,0
0.890739,1
0.959913,0
0.98263,1
0.975949,0
0.942923,1
0.971227,1
0.975949,0
0.987974,0
0.983969,1
0.747448,0
0.950556,1
0.983965,0
0.817715,1
0.983965,0
0.969348,1
0.867525,1
0.983965,0
0.976933,1
0.987974,0
0.971941,0
0.910985,1
0.930357,1
0.973352,1
0.96793,1
0.948703,1
0.93185,0
0.96793,0
0.382036,1
0.906553,1
0.991982,0
0.983965,0
0.928251,1
0.987974,0
0.983965,0
0.948523,1
0.967934,0
0.975949,0
0.98013,1
0.899784,0
0.979959,0
1,0
0.929631,1
0.950311,1
0.96831,1
0.955903,0
0.967931,0
0.907798,0
0.890406,1
0.971938,0
0.734283,1
0.975947,0
0.987974,0
0.987974,0
0.961305,1
0.901074,1
0.975947,0
0.821246,1
0.955904,0
0.895771,0
0.987974,0
0.924027,1
0.987976,0
0.987974,0
0.939868,0
0.980253,1
0.952298,1
0.983965,0
0.930668,1
0.916023,1
0.881097,1
0.991982,0
0.972168,1
0.987974,0
0.969333,1
0.955405,1
0.991982,0
0.983965,0
0.947212,1
0.943878,0
0.39868,0
0.901581,1
0.955903,0
0.94789,0
0.979101,1
0.963925,0
0.971941,0
0.971938,0
0.975141,1
0.951895,1
0.967934,0
0.850239,1
0.973375,1
0.947998,1
0.96793,0
0.995991,0
0.93185,0
0.956476,1
0.983965,0
0.86644,1
0.899783,1
0.963921,0
0.899784,1
0.94789,0
0.969256,1
0.955907,1
-0.307095,1
0.967934,1
0.975949,1
0.979956,0
0.979956,0
0.975949,0
0.870968,1
