@relation 'Ant17BugsBinary-weka.filters.unsupervised.attribute.Remove-R1-3,5-18,29-30-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,1-weka.filters.unsupervised.attribute.Normalize-S2.0-T-1.0-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.supervised.instance.SMOTE-C0-K5-P865.0-S1-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.attribute.Remove-R1-9'

@attribute 'd(WMC, Ca)' numeric
@attribute #BugsBinary {0,1}

@data
0.946945,1
0.990717,0
0.988905,1
0.989784,1
0.996615,1
0.970796,1
0.854183,0
0.96651,0
0.876768,1
0.971572,0
0.975877,1
0.967407,1
0.965503,0
0.966056,1
0.980887,0
0.997734,0
0.333742,1
0.86699,0
0.991155,0
0.964569,0
0.931807,0
0.997734,0
0.998863,0
0.998863,0
0.979741,0
0.96295,1
0.977071,1
0.970305,1
0.952904,1
0.976677,1
0.991951,1
0.967043,1
0.984521,0
0.987435,0
0.974415,1
0.980294,1
0.986872,1
0.997734,0
0.995505,0
0.910992,1
0.952129,1
0.898595,1
0.046273,1
0.934286,1
0.900026,0
0.992229,1
0.992951,0
0.987597,1
0.996615,0
0.950532,0
0.932071,1
0.985293,0
0.997734,0
0.972448,1
0.933108,1
0.967181,0
0.983898,0
0.986958,1
1,0
0.962002,0
0.89736,1
0.989614,0
0.979741,0
0.98799,0
0.976582,1
0.989488,1
0.986953,0
0.901496,1
0.990443,0
0.973784,1
0.997734,0
0.924472,1
0.707252,0
0.96947,0
0.913566,1
0.992692,1
0.988137,1
0.983188,0
0.93935,1
0.960887,0
0.964459,1
0.990717,0
0.988924,1
0.956989,1
0.983898,0
0.979436,0
0.517278,1
0.992951,0
0.903232,0
0.970902,0
0.992951,0
0.957572,1
0.980887,0
0.976877,1
0.989036,1
0.763001,1
0.992951,0
0.995505,0
0.992951,0
0.986953,0
0.978938,1
0.988448,1
0.937915,0
0.990717,0
0.900235,0
0.995048,1
0.98852,0
0.987045,0
0.98226,0
0.977476,0
0.985056,1
0.98593,0
0.771023,1
0.978589,1
0.983188,0
0.927569,1
0.982898,0
0.992951,0
0.993606,1
0.72028,1
0.924536,0
0.949859,1
0.969353,0
0.965474,1
0.977476,1
0.980926,0
0.988666,1
0.992229,0
0.994404,1
0.98827,1
0.967998,1
0.987435,0
0.958136,0
0.977095,1
