@relation 'Ant17BugsBinary-weka.filters.unsupervised.attribute.Remove-R1-3,5-18,29-30-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,1-weka.filters.unsupervised.attribute.Normalize-S2.0-T-1.0-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.supervised.instance.SMOTE-C0-K5-P865.0-S1-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.attribute.Remove-R1-8,10'

@attribute 'd(WMC, Ce)' numeric
@attribute #BugsBinary {0,1}

@data
0.661312,1
0.886552,0
0.831567,1
0.847606,1
0.916137,1
0.632012,1
0.732773,0
0.588752,0
-0.107246,1
0.904636,0
0.626741,1
0.681314,1
0.668958,0
0.463737,1
0.97412,0
0.923466,0
0.013732,1
0.780799,0
0.812817,0
0.872309,0
0.578219,0
0.946676,0
0.939775,0
0.967787,0
0.962803,0
0.6691,1
0.698104,1
0.532062,1
0.717449,1
0.562839,1
0.905517,1
0.63563,1
0.962803,0
0.871452,0
0.642763,1
0.636758,1
0.850237,1
0.946676,0
0.904636,0
-0.075153,1
0.462581,1
0.089111,1
-0.047379,1
0.04903,1
-0.086007,0
0.837631,1
0.932365,0
0.839077,1
0.916137,0
0.396678,0
0.240517,1
0.818995,0
0.937008,0
0.537927,1
0.239171,1
0.825812,0
0.674918,0
0.88478,1
0.978942,0
0.899919,0
-0.533353,1
0.903511,0
0.957944,0
0.777125,0
0.690504,1
0.813856,1
0.756295,0
0.674296,1
0.978942,0
0.919952,1
0.937008,0
0.274558,1
0.371012,0
0.71726,0
0.070053,1
0.859318,1
0.808672,1
0.772541,0
0.503675,1
0.888467,0
0.508323,1
0.91956,0
0.826598,1
0.536091,1
0.68607,0
0.793343,0
0.143937,1
0.937008,0
0.706455,0
0.839449,0
0.946676,0
0.262994,1
0.983888,0
0.616193,1
0.793343,1
0.00593,1
0.937008,0
0.909483,0
0.937008,0
0.756295,0
0.88229,1
0.899497,1
0.978942,0
0.882361,0
0.293328,0
0.901795,1
0.867515,0
0.920817,0
0.925625,0
0.916137,0
0.866699,1
0.895332,0
0.018046,1
0.63514,1
0.755612,0
0.288992,1
0.711438,0
0.946676,0
0.880363,1
0.021338,1
0.739217,0
0.712391,1
0.621933,0
0.319227,1
0.920817,1
0.659061,0
0.851098,1
0.84663,0
0.874595,1
0.896225,1
0.524553,1
0.84663,0
0.770584,0
0.648128,1
0.144815,1
0.550726,1
0.909294,1
0.634768,1
0.861919,1
0.842063,0
0.174451,1
0.549812,1
0.883711,0
0.978942,0
0.884881,1
0.663833,1
0.867515,0
0.426969,1
0.902877,0
-0.519712,1
0.911586,0
0.802105,0
0.957944,0
0.743272,0
0.983888,0
0.526702,1
0.645773,1
0.923466,0
0.823469,1
0.930561,0
0.867515,0
0.845543,0
0.978942,0
0.387839,1
0.932365,0
0.941779,0
0.249898,1
0.248887,0
0.983888,0
0.862853,0
0.534639,0
0.613747,1
0.814216,0
0.898367,0
-0.054243,1
0.823469,0
0.638807,1
0.232571,1
0.647715,1
0.554055,1
0.830417,1
0.915088,1
0.802105,0
0.941779,0
0.891979,1
0.71401,1
0.755261,1
0.756295,0
0.777125,0
0.669717,1
0.803189,1
0.428278,1
0.638917,1
0.905491,1
0.855443,0
0.323641,0
0.909577,1
0.137709,1
0.909849,1
0.654567,1
0.578368,1
0.67055,1
0.447922,1
0.248991,1
0.01263,1
0.868842,1
0.714622,1
0.97412,0
0.937008,0
0.874595,0
0.439611,1
0.887474,0
0.657464,1
0.962803,0
-0.044021,1
0.61012,0
0.829245,1
0.872309,0
-0.044675,1
0.732773,1
0.711438,0
0.525479,1
0.546987,1
0.652094,1
0.983888,0
0.690181,1
0.840436,1
0.558837,1
0.95321,0
0.951699,0
0.924384,1
0.691653,1
0.119868,1
0.593088,1
0.886552,1
0.601553,1
0.494268,1
0.957944,0
0.911466,1
0.669129,1
0.566591,1
0.744724,0
