@relation 'Ant17ALLModels-weka.filters.unsupervised.attribute.Remove-R1-2,29-30-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,1-weka.filters.unsupervised.attribute.Remove-R2-7,35-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,1-weka.filters.unsupervised.attribute.Normalize-S2.0-T-1.0-weka.filters.unsupervised.attribute.NumericToBinary-Rlast-weka.filters.unsupervised.attribute.Remove-R1-21,23-27'

@attribute 'd(LOC, RFC, Ca)' numeric
@attribute #BugsBinary_binarized {0,1}

@data
0.616044,0
0.963524,0
0.932934,0
0.947899,0
0.909373,0
0.954023,0
0.96823,0
0.534665,0
0.927176,0
0.990027,0
0.990027,0
0.922274,0
0.696822,0
0.758524,0
0.894817,0
0.94677,0
0.920573,0
0.849297,0
0.918486,0
0.894036,0
0.948242,0
0.953171,0
0.935916,0
0.92986,0
0.944887,0
0.952819,0
0.963248,0
0.551958,0
0.748846,0
0.928358,0
0.959037,0
0.574537,0
0.869921,0
0.555383,0
0.85895,0
0.935794,0
0.987189,0
0.9407,0
0.948484,0
0.93974,0
0.997959,0
0.898464,0
0.864087,0
0.92378,0
0.976126,0
0.990488,0
0.998838,0
0.755923,0
0.9329,0
0.932382,0
0.935454,0
0.932557,0
0.964509,0
0.997916,0
0.83406,0
0.947967,0
0.905552,0
0.980155,0
0.955309,0
0.856509,0
0.932236,0
0.489542,0
0.584955,0
0.944335,0
0.725926,0
0.932757,0
0.859575,0
0.483071,0
0.566081,0
0.641363,0
0.902094,0
0.935971,0
0.609569,0
0.947699,0
0.993994,0
0.756002,0
0.867825,0
0.600414,0
0.953281,0
0.807913,0
0.935077,0
0.667523,0
0.928625,0
0.614524,0
0.383546,0
0.239934,0
0.998846,0
0.892444,0
0.769559,0
0.676794,0
0.829143,0
0.929209,0
0.901512,0
0.715758,0
0.904288,0
0.830938,0
0.873503,0
0.612986,0
0.91892,0
0.961961,0
0.721825,0
0.893545,0
0.695004,0
0.836929,0
0.773131,0
0.994518,0
0.976732,0
0.690278,0
0.694747,0
0.813029,0
0.844836,0
0.302025,0
0.428865,0
0.495815,0
0.84161,0
0.735202,0
0.439843,0
0.567017,0
0.543943,0
0.436623,0
0.488865,0
-0.032786,0
0.695462,0
0.828638,0
0.768347,0
0.863887,0
0.365232,0
0.868119,0
0.820041,0
0.930208,0
0.931516,0
0.926278,0
0.811237,0
0.760594,0
0.815694,0
0.768157,0
0.878217,0
0.959336,0
0.89386,0
0.95502,0
0.904196,0
0.916233,0
0.929124,0
0.862383,0
0.880205,0
0.918291,0
0.972501,0
0.921759,0
0.964081,0
0.96518,0
0.962168,0
0.990519,0
0.982493,0
0.987536,0
0.373057,0
0.835315,0
0.455042,0
0.155398,0
0.324542,0
0.804946,0
0.709671,0
0.605869,0
0.761976,0
0.800475,0
0.736812,0
0.423113,0
0.408501,0
0.397036,0
0.560263,0
0.875471,0
0.820618,0
0.84826,0
0.393061,0
0.743983,0
0.898072,0
0.855151,0
0.56559,0
0.863697,0
0.743112,0
0.593362,0
0.850533,0
0.579894,0
0.715285,0
0.845924,0
0.908136,0
-1,0
0.603968,0
0.907644,0
0.649621,0
0.904748,0
0.893622,0
0.844373,0
0.586974,0
0.901053,0
0.842666,0
0.823269,0
0.75036,0
0.880079,0
0.905011,0
-0.032005,0
0.791916,0
0.752654,0
0.897159,0
0.899336,0
0.866461,0
0.909921,0
0.82686,0
0.796886,0
0.883887,0
0.829031,0
0.777202,0
0.691602,0
0.900786,0
0.77561,0
0.945875,0
0.876299,0
0.502557,0
0.73404,0
0.873725,0
0.852546,0
0.905398,0
0.516883,0
0.917658,0
0.951047,0
0.933105,0
0.700849,0
0.774037,0
0.768268,0
0.880584,0
0.89942,0
0.954411,0
0.694007,0
0.961873,0
0.893638,0
0.664368,0
0.801179,0
0.739535,0
0.813586,0
0.82489,0
0.676069,0
0.805747,0
0.858216,0
0.866376,0
0.719324,0
0.652759,0
0.945583,0
0.822056,0
0.819107,0
0.840032,0
0.813066,0
0.834871,0
0.944758,0
0.846759,0
0.847686,0
0.850145,0
0.919795,0
0.601931,0
0.86858,0
0.835796,0
0.869412,0
0.895924,0
0.909932,0
0.928832,0
0.952877,0
0.92722,0
0.909056,0
0.87488,0
0.87613,0
0.858677,0
0.85253,0
0.938556,0
0.823885,0
0.829143,0
0.880319,0
0.808897,0
0.88556,0
0.929613,0
0.937743,0
0.922291,0
0.883791,0
0.811563,0
0.926792,0
0.883621,0
0.710085,0
0.937763,0
0.836056,0
0.908417,0
0.946945,0
0.922398,0
0.939069,0
0.915973,0
0.81746,0
0.899477,0
0.952524,0
0.90968,0
0.871002,0
0.95105,0
0.812928,0
0.927466,0
0.926147,0
0.962268,0
0.892239,0
0.945749,0
0.889291,0
0.911483,0
0.860416,0
0.946163,0
0.946163,0
0.946163,0
0.83999,0
0.928853,0
0.888971,0
0.870689,0
0.860616,0
0.878556,0
0.927692,0
0.920575,0
0.956009,0
0.860607,0
0.852791,0
0.935738,0
0.847321,0
0.870973,0
0.662537,0
0.871986,0
0.945139,0
0.951109,0
0.964598,0
0.780259,0
0.945583,0
0.958465,0
0.940251,0
0.80074,0
0.919017,0
0.957958,0
0.802772,0
0.905233,0
0.971186,0
0.932402,0
0.922688,0
0.912302,0
0.937924,0
0.924255,0
0.921187,0
0.8989,0
0.914842,0
0.955164,0
0.813095,0
0.895398,0
0.967009,0
0.885295,0
0.799729,0
0.877368,0
0.974204,0
0.9274,0
0.945606,0
0.955577,0
0.833366,0
0.92989,0
0.931831,0
0.973977,0
0.973977,0
0.917304,0
0.890302,0
0.978784,0
0.961621,0
0.837739,0
0.962203,0
0.975848,0
0.971428,0
0.976875,0
0.961378,0
0.866258,0
0.456202,0
0.916895,0
0.875754,0
0.922573,0
0.977679,0
0.978323,0
0.890449,0
0.90357,0
0.900127,0
0.973466,0
0.965267,0
0.99461,0
0.914583,0
0.924451,0
0.933855,0
0.90834,0
0.933829,0
0.942598,0
0.882922,0
0.970976,0
0.8982,0
0.975483,0
0.89589,0
0.891955,0
0.948069,0
0.947996,0
0.903236,0
0.8158,0
0.974325,0
0.963218,0
0.965022,0
0.925495,0
0.892704,0
0.992468,0
0.932815,0
0.940896,0
0.95172,0
0.950002,0
0.970041,0
0.973604,0
0.98622,0
0.973712,0
0.973712,0
0.988369,0
0.937452,0
0.959101,0
0.94683,0
0.937912,0
0.876628,0
0.876056,0
0.910905,0
0.960697,0
0.960697,0
0.957247,0
0.997116,0
0.980296,0
0.959865,0
0.96617,0
0.946278,0
0.983436,0
0.972014,0
0.979948,0
0.933546,0
0.99654,0
0.990612,0
0.752912,0
0.977986,0
0.899026,0
0.947292,0
0.964202,0
0.980538,0
0.922723,0
0.868816,0
0.919681,0
0.948235,0
0.909316,0
0.962203,0
0.968315,0
0.962203,0
0.977371,0
0.985405,0
0.975587,0
0.944537,0
0.963224,0
0.946484,0
0.952332,0
0.942193,0
0.996285,0
0.986389,0
0.927954,0
0.939818,0
0.956791,0
0.959798,0
0.963849,0
0.940369,0
0.987927,0
0.958634,0
0.949722,0
0.989765,0
0.995014,0
0.991734,0
0.971243,0
0.828769,0
0.99651,0
0.974991,0
0.979031,0
0.981546,0
0.988988,0
0.991941,0
0.995815,0
0.997063,0
0.987044,0
0.982452,0
0.97798,0
0.977702,0
0.973636,0
0.98736,0
0.98736,0
0.98736,0
0.98736,0
0.960025,0
0.972682,0
0.972682,0
0.984,0
0.966778,0
0.99148,0
0.990526,0
0.997693,0
0.9978,0
0.9978,0
0.997854,0
0.994794,0
0.99301,0
0.983114,0
0.990441,0
0.995393,0
0.988951,0
0.963364,0
0.976133,0
0.987505,0
0.993402,0
0.998053,0
0.998377,0
0.997885,0
0.998377,0
0.992987,0
0.993456,0
0.996408,0
0.996462,0
0.772954,0
0.998686,0
0.998792,0
0.998846,0
0.808811,0
0.913606,0
0.858562,0
0.855206,0
0.934876,0
0.943015,0
0.938896,0
0.987307,0
0.871002,0
0.953942,0
0.852083,0
0.938893,0
0.938546,0
0.949255,0
0.911541,0
0.953045,0
0.904001,0
0.997209,0
0.947287,0
0.939566,0
0.96448,0
0.973059,0
0.926684,0
0.959648,0
0.942682,0
0.996954,0
0.965095,0
0.956725,0
0.959161,0
0.947624,0
0.96521,0
0.947067,0
0.963062,0
0.880348,0
0.950299,0
0.97216,0
0.974565,0
0.973581,0
0.93699,0
0.908068,0
0.997477,0
0.899734,0
0.974158,0
0.982968,0
0.947874,0
0.978648,0
0.966164,0
0.972069,0
0.995595,0
0.987967,0
0.957775,0
0.977457,0
0.997707,0
0.998421,0
0.972621,0
0.959096,0
0.958383,0
0.955681,0
0.981977,0
0.987896,0
0.974499,0
0.977664,0
0.998215,0
0.999316,0
0.909602,0
0.925898,0
0.989942,0
0.983107,0
0.919129,0
0.979486,0
0.936352,0
0.986436,0
0.986436,0
0.983538,0
0.991649,0
0.958664,0
0.946338,0
0.963674,0
0.971055,0
0.985513,0
0.991418,0
0.999102,0
0.999316,0
0.999316,0
0.999369,0
0.999369,0
0.999369,0
0.999369,0
0.999369,0
0.999369,0
0.999423,0
0.999423,0
0.999423,0
0.999423,0
0.999423,0
0.999423,0
0.983083,0
0.985052,0
0.967124,0
0.975981,0
0.976534,0
0.994432,0
0.988035,0
0.993994,0
0.983514,0
0.992987,0
0.988466,0
0.988466,0
0.995809,0
0.994486,0
0.991534,0
0.994978,0
0.993971,0
0.994025,0
0.990088,0
0.990088,0
0.995778,0
0.993948,0
0.994056,0
0.998686,0
0.998792,0
0.99095,0
0.994517,0
0.996516,0
0.996516,0
0.998023,0
0.998023,0
0.997531,0
0.997916,0
0.987198,0
0.992119,0
0.998023,0
0.992611,0
0.998318,0
0.999102,0
0.999316,0
0.999369,0
0.999423,0
-0.009257,0
0.998985,0
0.999531,0
0.999946,0
1,0
0.98912,0
0.987206,0
0.976382,0
0.999946,0
0.987698,0
0.996555,0
0.903091,1
0.966109,1
0.894333,1
0.774606,1
0.907215,1
0.844272,1
0.909544,1
0.64697,1
0.394299,1
0.798801,1
0.744669,1
0.609261,1
0.743142,1
0.633292,1
0.493955,1
0.564862,1
0.48747,1
-0.136076,1
0.553134,1
0.8614,1
0.521689,1
0.897342,1
0.809678,1
0.957769,1
0.827067,1
0.380069,1
0.807167,1
0.648338,1
0.504845,1
0.486899,1
0.770479,1
0.659447,1
0.908561,1
0.890565,1
0.772172,1
0.75839,1
0.94411,1
0.719902,1
0.828689,1
0.962431,1
0.908243,1
0.811567,1
0.907811,1
0.971487,1
0.849017,1
0.875665,1
0.455753,1
0.455753,1
0.908139,1
0.908139,1
-0.436507,1
-0.436507,1
0.099019,1
0.099019,1
0.576542,1
0.576542,1
0.598465,1
0.598465,1
0.56388,1
0.56388,1
-0.145589,1
-0.145589,1
0.727695,1
0.727695,1
-0.327199,1
-0.327199,1
0.85541,1
0.85541,1
0.848605,1
0.848605,1
0.489639,1
0.489639,1
0.703366,1
0.703366,1
0.806353,1
0.806353,1
0.687396,1
0.687396,1
0.935364,1
0.935364,1
0.917191,1
0.917191,1
0.089076,1
0.089076,1
0.089076,1
0.229196,1
0.229196,1
0.229196,1
0.126268,1
0.126268,1
0.126268,1
0.401186,1
0.401186,1
0.401186,1
-0.040456,1
-0.040456,1
-0.040456,1
-0.197981,1
-0.197981,1
-0.197981,1
-0.197981,1
