@relation 'Ant17ALLModels-weka.filters.unsupervised.attribute.Remove-R1-2,29-30-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,1-weka.filters.unsupervised.attribute.Remove-R2-7,35-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,1-weka.filters.unsupervised.attribute.Normalize-S2.0-T-1.0-weka.filters.unsupervised.attribute.NumericToBinary-Rlast-weka.filters.unsupervised.attribute.Remove-R1-22,24-27'

@attribute 'd(d(LOC,Ce),d(RFC, Ca))' numeric
@attribute #BugsBinary_binarized {0,1}

@data
-0.655402,0
-0.960576,0
-0.940055,0
-0.95343,0
-0.919011,0
-0.958846,0
-0.971681,0
-0.582109,0
-0.934823,0
-0.991223,0
-0.991223,0
-0.93058,0
-0.728549,0
-0.78335,0
-0.905861,0
-0.952488,0
-0.928698,0
-0.865166,0
-0.927129,0
-0.905272,0
-0.953801,0
-0.95822,0
-0.942732,0
-0.937333,0
-0.950765,0
-0.95787,0
-0.967224,0
-0.597929,0
-0.774794,0
-0.935984,0
-0.963481,0
-0.618067,0
-0.883715,0
-0.601044,0
-0.873886,0
-0.942658,0
-0.988439,0
-0.947078,0
-0.954042,0
-0.946216,0
-0.99574,0
-0.909227,0
-0.878301,0
-0.931749,0
-0.978764,0
-0.991635,0
-0.995161,0
-0.78108,0
-0.940045,0
-0.939602,0
-0.942312,0
-0.939679,0
-0.96838,0
-0.998133,0
-0.851284,0
-0.953585,0
-0.915541,0
-0.982367,0
-0.960102,0
-0.871552,0
-0.936023,0
-0.541013,0
-0.627913,0
-0.950268,0
-0.754503,0
-0.93995,0
-0.874036,0
-0.535542,0
-0.61022,0
-0.678062,0
-0.91245,0
-0.942771,0
-0.649856,0
-0.953331,0
-0.994761,0
-0.781346,0
-0.881731,0
-0.641504,0
-0.958295,0
-0.827759,0
-0.94192,0
-0.701847,0
-0.936263,0
-0.654288,0
-0.443657,0
-0.315517,0
-0.998526,0
-0.903688,0
-0.793842,0
-0.71081,0
-0.846842,0
-0.936764,0
-0.911945,0
-0.745291,0
-0.914476,0
-0.84855,0
-0.886753,0
-0.652374,0
-0.927536,0
-0.9661,0
-0.751062,0
-0.904819,0
-0.726656,0
-0.853895,0
-0.796806,0
-0.994066,0
-0.979217,0
-0.722321,0
-0.726326,0
-0.832507,0
-0.861281,0
-0.372501,0
-0.487823,0
-0.547077,0
-0.858182,0
-0.762685,0
-0.496824,0
-0.611633,0
-0.591061,0
-0.494077,0
-0.542782,0
-0.068596,0
-0.726859,0
-0.846622,0
-0.792635,0
-0.878193,0
-0.429107,0
-0.882065,0
-0.838934,0
-0.93767,0
-0.938856,0
-0.914684,0
-0.830825,0
-0.7854,0
-0.834804,0
-0.791873,0
-0.890867,0
-0.956635,0
-0.904988,0
-0.959891,0
-0.914288,0
-0.925025,0
-0.936598,0
-0.876641,0
-0.892858,0
-0.926829,0
-0.975536,0
-0.930114,0
-0.967991,0
-0.968955,0
-0.966277,0
-0.991659,0
-0.984471,0
-0.988987,0
-0.436132,0
-0.852467,0
-0.512153,0
-0.240187,0
-0.392913,0
-0.814039,0
-0.739666,0
-0.646374,0
-0.786248,0
-0.821444,0
-0.764594,0
-0.481723,0
-0.468765,0
-0.458207,0
-0.605473,0
-0.888676,0
-0.839455,0
-0.864257,0
-0.453991,0
-0.770827,0
-0.908899,0
-0.870543,0
-0.610307,0
-0.878029,0
-0.769996,0
-0.634954,0
-0.866365,0
-0.62264,0
-0.744638,0
-0.862134,0
-0.917933,0
1,0
-0.644633,0
-0.917498,0
-0.685829,0
-0.914858,0
-0.904945,0
-0.86086,0
-0.629208,0
-0.911568,0
