@relation 'Ant17ALLModels-weka.filters.unsupervised.attribute.Remove-R1-2,29-30-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,1-weka.filters.unsupervised.attribute.Remove-R2-7,35-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,1-weka.filters.unsupervised.attribute.Normalize-S2.0-T-1.0-weka.filters.unsupervised.attribute.NumericToBinary-Rlast-weka.filters.unsupervised.attribute.Remove-R1-18,20-27'

@attribute 'd(RFC,d(LOC, Ca))' numeric
@attribute #BugsBinary_binarized {0,1}

@data
-0.719267,0
-0.991895,0
-0.982324,0
-0.986269,0
-0.976359,0
-0.995044,0
-0.98896,0
-0.639087,0
-0.978065,0
-0.990779,0
-0.990779,0
-0.982074,0
-0.805283,0
-0.855616,0
-0.963946,0
-0.987335,0
-0.969453,0
-0.940396,0
-0.97858,0
-0.967645,0
-0.988902,0
-0.988683,0
-0.98323,0
-0.983702,0
-0.986093,0
-0.988055,0
-0.98873,0
-0.656872,0
-0.849357,0
-0.982469,0
-0.993148,0
-0.678621,0
-0.947782,0
-0.661884,0
-0.94043,0
-0.986087,0
-0.990538,0
-0.984856,0
-0.989495,0
-0.980503,0
-0.988505,0
-0.971493,0
-0.94559,0
-0.97301,0
-0.991118,0
-0.991337,0
-0.988515,0
-0.85442,0
-0.983754,0
-0.983024,0
-0.982532,0
-0.981179,0
-0.993707,0
-0.989029,0
-0.920052,0
-0.988797,0
-0.972211,0
-0.990206,0
-0.98839,0
-0.939962,0
-0.982472,0
-0.590543,0
-0.693185,0
-0.986865,0
-0.831662,0
-0.985128,0
-0.933319,0
-0.586194,0
-0.66715,0
-0.745729,0
-0.966072,0
-0.983255,0
-0.716914,0
-0.987694,0
-0.990488,0
-0.858196,0
-0.946575,0
-0.706452,0
-0.988721,0
-0.898949,0
-0.981386,0
-0.774738,0
-0.983554,0
-0.723325,0
-0.47327,0
-0.332856,0
-0.98904,0
-0.961926,0
-0.863602,0
-0.780419,0
-0.917213,0
-0.981469,0
-0.967021,0
-0.820325,0
-0.971413,0
-0.916729,0
-0.947303,0
-0.715809,0
-0.979745,0
-0.988889,0
-0.830017,0
-0.968142,0
-0.802343,0
-0.920733,0
-0.875394,0
-0.991035,0
-0.991224,0
-0.792094,0
-0.799392,0
-0.903493,0
-0.931844,0
-0.400944,0
-0.536318,0
-0.59983,0
-0.928113,0
-0.83774,0
-0.541425,0
-0.673678,0
-0.651609,0
-0.540738,0
-0.593286,0
-0.045475,0
-0.798901,0
-0.922612,0
-0.872515,0
-0.946559,0
-0.462814,0
-0.952497,0
-0.914382,0
-0.986257,0
-0.987866,0
-0.981401,0
-0.901906,0
-0.861645,0
-0.907418,0
-0.862018,0
-0.949923,0
-0.98915,0
-0.96373,0
-0.99134,0
-0.968715,0
-0.974086,0
-0.977598,0
-0.940857,0
-0.958611,0
-0.973847,0
-0.993544,0
-0.982254,0
-0.991531,0
-0.990791,0
-0.991002,0
-0.990814,0
-0.992629,0
-0.991096,0
-0.471327,0
-0.940612,0
-0.558932,0
-0.246518,0
-0.42331,0
-0.903672,0
-0.812394,0
-0.712513,0
-0.861466,0
-0.900104,0
-0.838162,0
-0.523606,0
-0.511965,0
-0.499031,0
-0.667461,0
-0.95857,0
-0.914586,0
-0.9402,0
-0.491516,0
-0.847,0
-0.972919,0
-0.945632,0
-0.673749,0
-0.947155,0
-0.84569,0
-0.698139,0
-0.939364,0
-0.679483,0
-0.813453,0
-0.933792,0
-0.97867,0
1,0
-0.709802,0
-0.977483,0
-0.756697,0
-0.975632,0
-0.97274,0
-0.930414,0
-0.690493,0
-0.971931,0
-0.937405,0
-0.912796,0
-0.854824,0
-0.960887,0
-0.977533,0
-0.039313,0
-0.887984,0
-0.859091,0
-0.968068,0
-0.972927,0
-0.948572,0
-0.974021,0
-0.923221,0
-0.895666,0
-0.961705,0
-0.92072,0
-0.873211,0
-0.79545,0
-0.970032,0
-0.881199,0
-0.991955,0
-0.956099,0
-0.607446,0
-0.83043,0
-0.953381,0
-0.936405,0
-0.97518,0
-0.621885,0
-0.979028,0
-0.992462,0
-0.987696,0
-0.79749,0
-0.877008,0
-0.865629,0
-0.95889,0
-0.970853,0
-0.993158,0
-0.790097,0
-0.996048,0
-0.96273,0
-0.769585,0
-0.887337,0
-0.840106,0
-0.907089,0
-0.913222,0
-0.781587,0
-0.899741,0
-0.939106,0
-0.946611,0
-0.825316,0
-0.752966,0
-0.989355,0
-0.912704,0
-0.910749,0
-0.931525,0
-0.906929,0
-0.924117,0
-0.990013,0
-0.933092,0
-0.93456,0
-0.93659,0
-0.979313,0
-0.708903,0
-0.951731,0
-0.924234,0
-0.950859,0
-0.965965,0
-0.972233,0
-0.980326,0
-0.993629,0
-0.97904,0
-0.972601,0
-0.954252,0
-0.953615,0
-0.941326,0
-0.930512,0
-0.986861,0
-0.916535,0
-0.916547,0
-0.957899,0
-0.900444,0
-0.96332,0
-0.983101,0
-0.984544,0
-0.978355,0
-0.960023,0
-0.905884,0
-0.984027,0
-0.961512,0
-0.811508,0
-0.986017,0
-0.922077,0
-0.976209,0
-0.990894,0
-0.979347,0
-0.988556,0
-0.976233,0
-0.905793,0
-0.970035,0
-0.992999,0
-0.968471,0
-0.950541,0
-0.986927,0
-0.908316,0
-0.97964,0
-0.979915,0
-0.993085,0
-0.964736,0
-0.98494,0
-0.961031,0
-0.976309,0
-0.93933,0
-0.988094,0
-0.988094,0
-0.988094,0
-0.925373,0
-0.981767,0
-0.959975,0
-0.946404,0
-0.943234,0
-0.953003,0
-0.984967,0
-0.976959,0
-0.990653,0
-0.949056,0
-0.930344,0
-0.986062,0
-0.926734,0
-0.950905,0
-0.766819,0
-0.951288,0
-0.9847,0
-0.990474,0
-0.992185,0
-0.880374,0
-0.983877,0
-0.992459,0
-0.987611,0
-0.894908,0
-0.97564,0
-0.989749,0
-0.8922,0
-0.970247,0
-0.991705,0
-0.979172,0
-0.976692,0
-0.970916,0
-0.981687,0
-0.98034,0
-0.975422,0
-0.971785,0
-0.978762,0
-0.989866,0
-0.901331,0
-0.963049,0
-0.991772,0
-0.960696,0
-0.894282,0
-0.955719,0
-0.992846,0
-0.982454,0
-0.990854,0
-0.989495,0
-0.922496,0
-0.98324,0
-0.983719,0
-0.993844,0
-0.993844,0
-0.979283,0
-0.962147,0
-0.991043,0
-0.990847,0
-0.921057,0
-0.989471,0
-0.992112,0
-0.994875,0
-0.994384,0
-0.990264,0
-0.937566,0
-0.544748,0
-0.979505,0
-0.948951,0
-0.977569,0
-0.992954,0
-0.990446,0
-0.96015,0
-0.96389,0
-0.961749,0
-0.992179,0
-0.990297,0
-0.99314,0
-0.974975,0
-0.979974,0
-0.984692,0
-0.964049,0
-0.984197,0
-0.989605,0
-0.957776,0
-0.992179,0
-0.967905,0
-0.99361,0
-0.963374,0
-0.960748,0
-0.990835,0
-0.983797,0
-0.969431,0
-0.900428,0
-0.990784,0
-0.989237,0
-0.989718,0
-0.979577,0
-0.964634,0
-0.995139,0
-0.984195,0
-0.984446,0
-0.988679,0
-0.98302,0
-0.993009,0
-0.992728,0
-0.992017,0
-0.992749,0
-0.992749,0
-0.991171,0
-0.982947,0
-0.991124,0
-0.986359,0
-0.979226,0
-0.948778,0
-0.945927,0
-0.9773,0
-0.989553,0
-0.989553,0
-0.989526,0
-0.990589,0
-0.991798,0
-0.986746,0
-0.990011,0
-0.987143,0
-0.990652,0
-0.992402,0
-0.992794,0
-0.980678,0
-0.991101,0
-0.990295,0
-0.838832,0
-0.991437,0
-0.961932,0
-0.987038,0
-0.989502,0
-0.990263,0
-0.975298,0
-0.943034,0
-0.975074,0
-0.985392,0
-0.97721,0
-0.989471,0
-0.990535,0
-0.989471,0
-0.990289,0
-0.990881,0
-0.989976,0
-0.990912,0
-0.988208,0
-0.984726,0
-0.986874,0
-0.987955,0
-0.991619,0
-0.990985,0
-0.980838,0
-0.986441,0
-0.987851,0
-0.988776,0
-0.994556,0
-0.985698,0
-0.990081,0
-0.991491,0
-0.988456,0
-0.989708,0
-0.989479,0
-0.989843,0
-0.988597,0
-0.914886,0
-0.989525,0
-0.993518,0
-0.990559,0
-0.990929,0
-0.990698,0
-0.990907,0
-0.990556,0
-0.990588,0
-0.991049,0
-0.990527,0
-0.992482,0
-0.988775,0
-0.991171,0
-0.99318,0
-0.99318,0
-0.99318,0
-0.99318,0
-0.992427,0
-0.990458,0
-0.990458,0
-0.992294,0
