@relation 'Ant17ALLModels-weka.filters.unsupervised.attribute.Remove-R1-2,29-30-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,1-weka.filters.unsupervised.attribute.Remove-R2-7,35-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,1-weka.filters.unsupervised.attribute.Normalize-S2.0-T-1.0-weka.filters.unsupervised.attribute.NumericToBinary-Rlast'

@attribute WMC numeric
@attribute CBO numeric
@attribute RFC numeric
@attribute Ca numeric
@attribute Ce numeric
@attribute LOC numeric
@attribute Qi numeric
@attribute FANIN numeric
@attribute 'd(LOC,FANIN)' numeric
@attribute 'd(Qi,FANIN)' numeric
@attribute 'd(WMC,FANIN)' numeric
@attribute 'd( WMC,CBO)' numeric
@attribute 'd(Qi,CBO)' numeric
@attribute 'd(LOC, CBO)' numeric
@attribute 'd(LOC, Ce)' numeric
@attribute 'd(LOC, Ca)' numeric
@attribute 'd(WMC, Ce)' numeric
@attribute 'd(WMC, Ca)' numeric
@attribute 'd(RFC,d(LOC, Ca))' numeric
@attribute 'd(RFC, Ca)' numeric
@attribute 'd(LOC,d(RFC, Ca))' numeric
@attribute 'd(LOC, RFC, Ca)' numeric
@attribute 'd(d(LOC,Ce),d(RFC, Ca))' numeric
@attribute 'd(LOC, WMC)' numeric
@attribute 'd(d(LOC,WMC),d(RFC, Ca))' numeric
@attribute 'D(d(LOC,RFC), d(LOC,Ca), d(RFC, Ca))' numeric
@attribute 'd(LOC, RFC)' numeric
@attribute #BugsBinary_binarized {0,1}

@data
-0.416667,-0.967936,-0.493056,-0.975904,-0.891892,-0.658225,-0.402892,-0.976581,0.626656,0.976573,0.922809,0.927989,0.967932,0.621534,0.655669,0.621368,0.432412,0.937438,-0.719267,0.823428,0.656052,0.616044,-0.655402,0.652017,-0.651747,-0.37485,0.37485,0
-0.9,-0.743487,-0.881944,-0.763052,-0.72973,-0.970491,-0.999676,-0.93911,0.967174,0.939097,0.916509,0.689685,0.743441,0.964216,0.97026,0.964337,0.879087,0.712741,-0.991895,0.725399,0.970468,0.963524,-0.960576,0.96992,-0.960153,-0.941416,0.941416,0
-0.85,-0.967936,-0.854167,-0.995984,-0.621622,-0.940542,0.90027,-0.990632,0.934954,0.990625,0.974684,0.952927,0.96793,0.933873,0.94008,0.934117,0.821343,0.98636,-0.982324,0.950549,0.940155,0.932934,-0.940055,0.939427,-0.939401,-0.882849,0.882849,0
-0.95,-0.95992,-0.888889,-1,-0.459459,-0.953755,0.969544,-0.995316,0.949433,0.99531,0.989563,0.950043,0.959912,0.948399,0.953384,0.94881,0.907236,0.997734,-0.986269,0.965759,0.953452,0.947899,-0.95343,0.952934,-0.95298,-0.908577,0.908577,0
-0.866667,-0.975952,-0.75,-0.995984,-0.675676,-0.919841,0.85298,-0.995316,0.912391,0.99531,0.981896,0.963572,0.975947,0.911059,0.919228,0.911186,0.842063,0.987435,-0.976359,0.918168,0.919328,0.909373,-0.919011,0.918385,-0.918167,-0.842893,0.842893,0
-0.833333,-0.95992,-0.798611,-0.971888,-0.837838,-0.959921,0.757668,-0.957845,0.955804,0.957831,0.933184,0.942285,0.959912,0.955229,0.959617,0.955262,0.823909,0.956515,-0.995044,0.90831,0.959675,0.954023,-0.958846,0.959124,-0.958347,-0.920642,0.920642,0
-0.916667,-0.987976,-0.9375,-0.995984,-0.891892,-0.971812,0.96452,-1,0.969205,0.999995,0.992163,0.981196,0.987974,0.968777,0.971601,0.968764,0.909483,0.990717,-0.98896,0.977496,0.971627,0.96823,-0.971681,0.971275,-0.971356,-0.944021,0.944021,0
-0.466667,-0.935872,-0.326389,-0.991968,-0.243243,-0.585554,-0.994898,-0.985948,0.547539,0.985945,0.937936,0.891949,0.935863,0.540736,0.582413,0.54133,0.416087,0.959341,-0.639087,0.798142,0.582932,0.534665,-0.582109,0.578137,-0.577831,-0.256983,0.256983,0
-0.933333,-0.987976,-0.875,-1,-0.837838,-0.935257,0.884804,-0.990632,0.929181,0.990625,0.982305,0.982307,0.987974,0.928294,0.934769,0.928317,0.920817,0.996615,-0.978065,0.9613,0.934832,0.927176,-0.934823,0.934109,-0.934164,-0.872608,0.872608,0
-0.966667,-0.995992,-0.958333,-1,-0.945946,-0.991191,0.989796,-0.995316,0.990331,0.99531,0.991134,0.994097,0.995991,0.99035,0.991129,0.990292,0.962803,0.998863,-0.990779,0.988431,0.991133,0.990027,-0.991223,0.991018,-0.991113,-0.982421,0.982421,0
-0.966667,-0.995992,-0.958333,-1,-0.945946,-0.991191,0.989796,-0.995316,0.990331,0.99531,0.991134,0.994097,0.995991,0.99035,0.991129,0.990292,0.962803,0.998863,-0.990779,0.988431,0.991133,0.990027,-0.991223,0.991018,-0.991113,-0.982421,0.982421,0
