@relation 'Ant17ALLModels-weka.filters.unsupervised.attribute.Remove-R1-2,29-30-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,1-weka.filters.unsupervised.attribute.Remove-R2-7,35-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,1-weka.filters.unsupervised.attribute.Normalize-S2.0-T-1.0-weka.filters.unsupervised.attribute.NumericToBinary-Rlast-weka.filters.unsupervised.attribute.Remove-R1-24,26-27'

@attribute 'd(d(LOC,WMC),d(RFC, Ca))' numeric
@attribute #BugsBinary_binarized {0,1}

@data
-0.651747,0
-0.960153,0
-0.939401,0
-0.95298,0
-0.918167,0
-0.958347,0
-0.971356,0
-0.577831,0
-0.934164,0
-0.991113,0
-0.991113,0
-0.929777,0
-0.725744,0
-0.781154,0
-0.904866,0
-0.951981,0
-0.927977,0
-0.863789,0
-0.926407,0
-0.904238,0
-0.953305,0
-0.957781,0
-0.942086,0
-0.936662,0
-0.950256,0
-0.957447,0
-0.966844,0
-0.594036,0
-0.772457,0
-0.935341,0
-0.963115,0
-0.614154,0
-0.882495,0
-0.596846,0
-0.872582,0
-0.94208,0
-0.988293,0
-0.946471,0
-0.953537,0
-0.945586,0
-0.995695,0
-0.908221,0
-0.877069,0
-0.930982,0
-0.978524,0
-0.991515,0
-0.995112,0
-0.778905,0
-0.939416,0
-0.938898,0
-0.941666,0
-0.939082,0
-0.968056,0
-0.998101,0
-0.849794,0
-0.95308,0
-0.91467,0
-0.982185,0
-0.959673,0
-0.870211,0
-0.935318,0
-0.536482,0
-0.623927,0
-0.949776,0
-0.752083,0
-0.939323,0
-0.872746,0
-0.530911,0
-0.606336,0
-0.674875,0
-0.911536,0
-0.942115,0
-0.64623,0
-0.952812,0
-0.994692,0
-0.779155,0
-0.880532,0
-0.637744,0
-0.957842,0
-0.826055,0
-0.941308,0
-0.69879,0
-0.935577,0
-0.650708,0
-0.438386,0
-0.308791,0
-0.998499,0
-0.902681,0
-0.791708,0
-0.707738,0
-0.845173,0
-0.936066,0
-0.911048,0
-0.74268,0
-0.913547,0
-0.846983,0
-0.885606,0
-0.648864,0
-0.926784,0
-0.965752,0
-0.748315,0
-0.903814,0
-0.723939,0
-0.852433,0
-0.794682,0
-0.993956,0
-0.978956,0
-0.719452,0
-0.723564,0
-0.830776,0
-0.859823,0
-0.36628,0
-0.482405,0
-0.542429,0
-0.856669,0
-0.760061,0
-0.491502,0
-0.607673,0
-0.586761,0
-0.489017,0
-0.538107,0
-0.059513,0
-0.72393,0
-0.84498,0
-0.790369,0
-0.876826,0
-0.423403,0
-0.880836,0
-0.837269,0
-0.93691,0
-0.938105,0
-0.913774,0
-0.829083,0
-0.783227,0
-0.833097,0
-0.789732,0
-0.889724,0
-0.956132,0
-0.904008,0
-0.959441,0
-0.91343,0
-0.92423,0
-0.93591,0
-0.875397,0
-0.891788,0
-0.926055,0
-0.975228,0
-0.929417,0
-0.967633,0
-0.968619,0
-0.965915,0
-0.991534,0
-0.984296,0
-0.988863,0
-0.430513,0
-0.850701,0
-0.507221,0
-0.232608,0
-0.38684,0
-0.812001,0
-0.736857,0
-0.642746,0
-0.783918,0
-0.819501,0
-0.76207,0
-0.476587,0
-0.463416,0
-0.452746,0
-0.601129,0
-0.887369,0
-0.83771,0
-0.862797,0
-0.44854,0
-0.768401,0
-0.907789,0
-0.869049,0
-0.606383,0
-0.876645,0
-0.767635,0
-0.631144,0
-0.864802,0
-0.618813,0
-0.741989,0
-0.860672,0
-0.916975,0
1,0
-0.641022,0
-0.91654,0
-0.682436,0
-0.913814,0
-0.903932,0
-0.859401,0
-0.625483,0
-0.91051,0
-0.857878,0
-0.840076,0
-0.773978,0
-0.891703,0
-0.914125,0
-0.056496,0
-0.811787,0
-0.776272,0
-0.906963,0
-0.909035,0
-0.879068,0
-0.842462,0
-0.843393,0
-0.816182,0
-0.895099,0
-0.845373,0
-0.798167,0
-0.720577,0
-0.910374,0
-0.797178,0
-0.951092,0
-0.888033,0
-0.548639,0
-0.758792,0
-0.885809,0
-0.866589,0
-0.91443,0
-0.561698,0
-0.925593,0
-0.955787,0
-0.939612,0
-0.72878,0
-0.795638,0
-0.790073,0
-0.892096,0
-0.909138,0
-0.958827,0
-0.72207,0
-0.965569,0
-0.903848,0
-0.695794,0
-0.82024,0
-0.763915,0
-0.831073,0
-0.841588,0
-0.706556,0
-0.823979,0
-0.871638,0
-0.879161,0
-0.745933,0
-0.684819,0
-0.950828,0
-0.838945,0
-0.836129,0
-0.855286,0
-0.830726,0
-0.85045,0
-0.950102,0
-0.861196,0
-0.862085,0
-0.86433,0
-0.927514,0
-0.639366,0
-0.881309,0
-0.85136,0
-0.88181,0
-0.906027,0
-0.918623,0
-0.935622,0
-0.957447,0
-0.934285,0
-0.917774,0
-0.886764,0
-0.888074,0
-0.872018,0
-0.866408,0
-0.944455,0
-0.840638,0
-0.845297,0
-0.891714,0
-0.826867,0
-0.89656,0
-0.936492,0
-0.943676,0
-0.929834,0
-0.894867,0
-0.829474,0
-0.933909,0
-0.894815,0
-0.737278,0
-0.943823,0
-0.851524,0
-0.917237,0
-0.952145,0
-0.929894,0
-0.945034,0
-0.92412,0
-0.834552,0
-0.909153,0
-0.957175,0
-0.918324,0
-0.883305,0
-0.955678,0
-0.8308,0
-0.934424,0
-0.933359,0
-0.965914,0
-0.902562,0
-0.946782,0
-0.899871,0
-0.920009,0
-0.87355,0
-0.951432,0
-0.951432,0
-0.951432,0
-0.855148,0
-0.935755,0
-0.899515,0
-0.882993,0
-0.873927,0
-0.8901,0
-0.934727,0
-0.928236,0
-0.960311,0
-0.874117,0
-0.866447,0
-0.941973,0
-0.861531,0
-0.883338,0
-0.694119,0
-0.884245,0
-0.950499,0
-0.955916,0
-0.968064,0
-0.801121,0
-0.950905,0
-0.962561,0
-0.946056,0
-0.819589,0
-0.926853,0
-0.962102,0
-0.821002,0
-0.914327,0
-0.973351,0
-0.938943,0
-0.930057,0
-0.920643,0
-0.943939,0
-0.931672,0
-0.928705,0
-0.908661,0
-0.923145,0
-0.959536,0
-0.830531,0
-0.905399,0
-0.970268,0
-0.896266,0
-0.818753,0
-0.8891,0
-0.976675,0
-0.934465,0
-0.950958,0
-0.95993,0
-0.849252,0
-0.936714,0
-0.938483,0
-0.976593,0
-0.976593,0
-0.925318,0
-0.900801,0
-0.980827,0
-0.965418,0
-0.852971,0
-0.965871,0
-0.978238,0
-0.974284,0
-0.979186,0
-0.965201,0
-0.878634,0
-0.504222,0
-0.924951,0
-0.887474,0
-0.929971,0
-0.979786,0
-0.980434,0
-0.900939,0
-0.912667,0
-0.909534,0
-0.976119,0
-0.968663,0
-0.994357,0
-0.922806,0
-0.931754,0
-0.940268,0
-0.917101,0
-0.940252,0
-0.948219,0
-0.894144,0
-0.97386,0
-0.90801,0
-0.977954,0
-0.905835,0
-0.902258,0
-0.953162,0
-0.952976,0
-0.912537,0
-0.832913,0
-0.976865,0
-0.966827,0
-0.968485,0
-0.932692,0
-0.903063,0
-0.99213,0
-0.939363,0
-0.946653,0
-0.956472,0
-0.954803,0
-0.972984,0
-0.976078,0
-0.987464,0
-0.976261,0
-0.976261,0
-0.988586,0
-0.943492,0
-0.963168,0
-0.951994,0
-0.943957,0
-0.888386,0
-0.887641,0
-0.919589,0
-0.96458,0
-0.96458,0
-0.961419,0
-0.996205,0
-0.981551,0
-0.963758,0
-0.969527,0
-0.951534,0
-0.985125,0
-0.974789,0
-0.981991,0
-0.939954,0
-0.99544,0
-0.991121,0
-0.775245,0
-0.980225,0
-0.908638,0
-0.952469,0
-0.967708,0
-0.982509,0
-0.930141,0
-0.881287,0
-0.927408,0
-0.953323,0
-0.918185,0
-0.965927,0
-0.971013,0
-0.96595,0
-0.977976,0
-0.986889,0
-0.978056,0
-0.95002,0
-0.966842,0
-0.951655,0
-0.956992,0
-0.947889,0
-0.996316,0
-0.987779,0
-0.934971,0
-0.945717,0
-0.961028,0
-0.963737,0
-0.967435,0
-0.946199,0
-0.989172,0
-0.962742,0
-0.95468,0
-0.990682,0
-0.973359,0
-0.992361,0
-0.974091,0
-0.844976,0
-0.985023,0
-0.977522,0
-0.98116,0
-0.98343,0
-0.990161,0
-0.992807,0
-0.987089,0
-0.995882,0
-0.988395,0
-0.984241,0
-0.980219,0
-0.979931,0
-0.976285,0
-0.988633,0
-0.988633,0
-0.988633,0
-0.988633,0
-0.964019,0
-0.975412,0
-0.975412,0
-0.985657,0
-0.97005,0
-0.992396,0
-0.991564,0
-0.996969,0
-0.997566,0
-0.997566,0
-0.997824,0
-0.995142,0
-0.993795,0
-0.984845,0
-0.991456,0
-0.995858,0
-0.990128,0
-0.966945,0
-0.978552,0
-0.988835,0
-0.994099,0
-0.99292,0
-0.99832,0
-0.997965,0
-0.99832,0
-0.993781,0
-0.99419,0
-0.996776,0
-0.996896,0
-0.794185,0
-0.997452,0
-0.998164,0
-0.998499,0
-0.826859,0
-0.921981,0
-0.872041,0
-0.868952,0
-0.941183,0
-0.94855,0
-0.944826,0
-0.987344,0
-0.883316,0
-0.958463,0
-0.866284,0
-0.944791,0
-0.944574,0
-0.954181,0
-0.920112,0
-0.957668,0
-0.913072,0
-0.996761,0
-0.952431,0
-0.945335,0
-0.968005,0
-0.975708,0
-0.933705,0
-0.963632,0
-0.948321,0
-0.997338,0
-0.968547,0
-0.960977,0
-0.96319,0
-0.952779,0
-0.968627,0
-0.952292,0
-0.966737,0
-0.891889,0
-0.955169,0
-0.974912,0
-0.977102,0
-0.976211,0
-0.943095,0
-0.916993,0
-0.997831,0
-0.909416,0
-0.976716,0
-0.984676,0
-0.952955,0
-0.98077,0
-0.969523,0
-0.97487,0
-0.992311,0
-0.989211,0
-0.961921,0
-0.979733,0
-0.986693,0
-0.992042,0
-0.975361,0
-0.963164,0
-0.962425,0
-0.960068,0
-0.983817,0
-0.989117,0
-0.977078,0
-0.9799,0
-0.99051,0
-0.998546,0
