@relation 'Ant17ALLModels-weka.filters.unsupervised.attribute.Remove-R1-2,29-30-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,1-weka.filters.unsupervised.attribute.Remove-R2-7,35-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,1-weka.filters.unsupervised.attribute.Normalize-S2.0-T-1.0-weka.filters.unsupervised.attribute.NumericToBinary-Rlast-weka.filters.unsupervised.attribute.Remove-R1-26'

@attribute 'd(LOC, RFC)' numeric
@attribute #BugsBinary_binarized {0,1}

@data
0.37485,0
0.941416,0
0.882849,0
0.908577,0
0.842893,0
0.920642,0
0.944021,0
0.256983,0
0.872608,0
0.982421,0
0.982421,0
0.865794,0
0.498756,0
0.593233,0
0.817614,0
0.906856,0
0.860695,0
0.741998,0
0.858145,0
0.816773,0
0.909437,0
0.918054,0
0.887981,0
0.877724,0
0.903418,0
0.917192,0
0.935346,0
0.282249,0
0.578329,0
0.875165,0
0.928419,0
0.314185,0
0.776699,0
0.28719,0
0.760133,0
0.88798,0
0.978039,0
0.896549,0
0.910298,0
0.894835,0
0.997358,0
0.824337,0
0.765922,0
0.866647,0
0.957941,0
0.983298,0
0.999119,0
0.589304,0
0.882849,0
0.881995,0
0.887125,0
0.881995,0
0.937946,0
0.996478,0
0.715793,0
0.909437,0
0.836135,0
0.96492,0
0.921507,0
0.753528,0
0.887125,0
0.192879,0
0.330657,0
0.902558,0
0.54331,0
0.882849,0
0.757657,0
0.184728,0
0.301366,0
0.412349,0
0.830232,0
0.887981,0
0.366097,0
0.908577,0
0.989443,0
0.590088,0
0.77255,0
0.352301,0
0.918054,0
0.672823,0
0.88627,0
0.452602,0
0.876018,0
0.373386,0
0.047915,0
-0.12768,0
0.998238,0
0.813418,0
0.612949,0
0.472944,0
0.707643,0
0.877725,0
0.829389,0
0.527104,0
0.834447,0
0.710901,0
0.781685,0
0.369743,0
0.858994,0
0.933614,0
0.537897,0
0.815934,0
0.494946,0
0.720692,0
0.617696,0
0.991201,0
0.959685,0
0.487343,0
0.494186,0
0.681697,0
0.735429,0
-0.051024,0
0.113947,0
0.20242,0
0.728871,0
0.557271,0
0.126479,0
0.304206,0
0.271689,0
0.122514,0
0.201736,0
-0.421147,0
0.494948,0
0.707642,0
0.610573,0
0.765922,0
0.027605,0
0.773378,0
0.693833,0
0.878577,0
0.881139,0
0.883704,0
0.678467,0
0.597165,0
0.685737,0
0.608207,0
0.789175,0
0.93448,0
0.815935,0
0.921506,0
0.833604,0
0.853903,0
0.876019,0
0.762614,0
0.793342,0
0.857297,0
0.951845,0
0.864092,0
0.937079,0
0.938814,0
0.933613,0
0.983298,0
0.969288,0
0.978038,0
0.037732,0
0.72232,0
0.151739,0
-0.223228,0
-0.022906,0
0.68331,0
0.517115,0
0.36028,0
0.606625,0
0.665578,0
0.561939,0
0.104115,0
0.085213,0
0.069697,0
0.294266,0
0.785842,0
0.694644,0
0.740354,0
0.063268,0
0.572074,0
0.824336,0
0.752702,0
0.302071,0
0.768406,0
0.570513,0
0.341459,0
0.744466,0
0.321338,0
0.525568,0
0.736249,0
0.841201,0
-1,0
0.357376,0
0.840356,0
0.425703,0
0.83529,0
0.816772,0
0.734609,0
0.332097,0
0.829388,0
0.732146,0
0.698702,0
0.581459,0
0.794175,0
0.836978,0
-0.424925,0
0.647942,0
0.585377,0
0.821814,0
0.82602,0
0.770063,0
0.867496,0
0.7052,0
0.655946,0
0.800021,0
0.708456,0
0.623248,0
0.488861,0
0.828546,0
0.622451,0
0.905996,0
0.786675,0
0.212,0
0.554166,0
0.782515,0
0.746936,0
0.836978,0
0.231968,0
0.857296,0
0.914605,0
0.883703,0
0.502576,0
0.61928,0
0.608995,0
0.794176,0
0.82602,0
0.920642,0
0.491146,0
0.933612,0
0.815935,0
0.447353,0
0.663172,0
0.563496,0
0.682503,0
0.701138,0
0.465393,0
0.669602,0
0.756004,0
0.770063,0
0.532496,0
0.428683,0
0.905136,0
0.696267,0
0.691403,0
0.726414,0
0.681696,0
0.717424,0
0.904276,0
0.737071,0
0.738713,0
0.742822,0
0.860693,0
0.354474,0
0.774208,0
0.719057,0
0.775038,0
0.820134,0
0.843739,0
0.876018,0
0.918053,0
0.87346,0
0.842048,0
0.784178,0
0.786676,0
0.756829,0
0.746114,0
0.893976,0
0.699513,0
0.707644,0
0.793342,0
0.674435,0
0.802529,0
0.877724,0
0.891406,0
0.864944,0
0.799186,0
0.679273,0
0.872606,0
0.799185,0
0.517116,0
0.892262,0
0.719058,0
0.841202,0
0.907716,0
0.864944,0
0.893976,0
0.853902,0
0.688165,0
0.82602,0
0.917191,0
0.842894,0
0.777529,0
0.915468,0
0.681695,0
0.87346,0
0.871755,0
0.934479,0
0.813417,0
0.910299,0
0.808388,0
0.846277,0
0.759307,0
0.905996,0
0.905996,0
0.905996,0
0.725597,0
0.876018,0
0.807551,0
0.7767,0
0.760133,0
0.790008,0
0.874311,0
0.861543,0
0.923234,0
0.760958,0
0.746114,0
0.88798,0
0.737072,0
0.777529,0
0.444358,0
0.77919,0
0.904277,0
0.914605,0
0.937946,0
0.628807,0
0.905137,0
0.927555,0
0.895691,0
0.661563,0
0.858994,0
0.926691,0
0.663974,0
0.835291,0
0.950975,0
0.881995,0
0.864944,0
0.847124,0
0.891406,0
0.868348,0
0.862393,0
0.825178,0
0.852206,0
0.921506,0
0.68089,0
0.818454,0
0.942284,0
0.801693,0
0.659958,0
0.788341,0
0.955327,0
0.873459,0
0.905136,0
0.92237,0
0.714976,0
0.877724,0
0.88114,0
0.954456,0
0.954456,0
0.856447,0
0.810064,0
0.963174,0
0.932747,0
0.721509,0
0.933614,0
0.957941,0
0.950104,0
0.959684,0
0.932747,0
0.768408,0
0.143742,0
0.855598,0
0.785012,0
0.864944,0
0.961429,0
0.962302,0
0.810064,0
0.831919,0
0.826022,0
0.953586,0
0.939681,0
0.9912,0
0.851359,0
0.868348,0
0.884559,0
0.840359,0
0.884559,0
0.899981,0
0.797516,0
0.949235,0
0.823496,0
0.957069,0
0.819294,0
0.812579,0
0.909437,0
0.908578,0
0.831917,0
0.684931,0
0.955327,0
0.935346,0
0.938814,0
0.870051,0
0.814256,0
0.987686,0
0.882849,0
0.896549,0
0.915467,0
0.912022,0
0.947496,0
0.954456,0
0.976287,0
0.954456,0
0.954456,0
0.980667,0
0.89055,0
0.92842,0
0.906857,0
0.891407,0
0.786677,0
0.785013,0
0.84543,0
0.931016,0
0.931016,0
0.924962,0
0.995598,0
0.966666,0
0.929286,0
0.940549,0
0.905996,0
0.971037,0
0.950975,0
0.96492,0
0.883705,0
0.994718,0
0.984175,0
0.582249,0
0.961429,0
0.824339,0
0.907717,0
0.93708,0
0.965793,0
0.864944,0
0.773381,0
0.859844,0
0.910299,0
0.842892,0
