@relation 'Ant17ALLModels-weka.filters.unsupervised.attribute.Remove-R1-2,29-30-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,1'

@attribute #BugsBinary numeric
@attribute #Blocker numeric
@attribute #Critical numeric
@attribute #Major numeric
@attribute #Normal numeric
@attribute #Minor numeric
@attribute #Trivial numeric
@attribute WMC numeric
@attribute CBO numeric
@attribute RFC numeric
@attribute Ca numeric
@attribute Ce numeric
@attribute LOC numeric
@attribute Qi numeric
@attribute FANIN numeric
@attribute 'd(LOC,FANIN)' numeric
@attribute 'd(Qi,FANIN)' numeric
@attribute 'd(WMC,FANIN)' numeric
@attribute 'd( WMC,CBO)' numeric
@attribute 'd(Qi,CBO)' numeric
@attribute 'd(LOC, CBO)' numeric
@attribute 'd(LOC, Ce)' numeric
@attribute 'd(LOC, Ca)' numeric
@attribute 'd(WMC, Ce)' numeric
@attribute 'd(WMC, Ca)' numeric
@attribute 'd(RFC,d(LOC, Ca))' numeric
@attribute 'd(RFC, Ca)' numeric
@attribute 'd(LOC,d(RFC, Ca))' numeric
@attribute 'd(LOC, RFC, Ca)' numeric
@attribute 'd(d(LOC,Ce),d(RFC, Ca))' numeric
@attribute 'd(LOC, WMC)' numeric
@attribute 'd(d(LOC,WMC),d(RFC, Ca))' numeric
@attribute 'D(d(LOC,RFC), d(LOC,Ca), d(RFC, Ca))' numeric
@attribute 'd(LOC, RFC)' numeric
@attribute #Bugs numeric

@data
0,0,0,0,0,0,0,35,8,73,6,2,776,0.298554,5,3788.576118,422.000583,430.475319,498.303121,491.000501,3796.881088,3765.162679,3797.010535,91.923882,499.288494,800.518387,536.925507,3765.190304,3803.092689,776.895026,3765.959373,777.547954,6445529.046,14175440,0
0,0,0,0,0,0,0,6,64,17,59,5,67,0.000162,13,4493.113842,414.001207,429.408896,449.689893,435.001149,4495.097441,4474.114438,4495.486292,118.406081,453.56036,280.564027,515.908907,4474.387322,4503.647189,89.205621,4475.452156,89.290308,604022.0072,20016947,0
0,0,0,0,0,0,0,9,8,21,1,7,135,0.950135,2,4426.450158,425.000003,439.25619,503.390505,491.000002,4433.273847,4406.102132,4433.942377,114.982607,509.244538,298.817241,564.17905,4406.012755,4441.974111,135.448295,4407.397985,135.602366,1207866.007,19413103,0
0,0,0,0,0,0,0,3,10,16,0,10,105,0.984772,1,4456.407971,426,441.77483,502.802148,489,4462.870937,4436.082168,4463.866037,120.074977,511.559381,291.294003,567.439865,4436.006074,4472.145346,105.308889,4437.542676,105.298803,942601.0058,19678368,0
0,0,0,0,0,0,0,8,6,36,1,6,182,0.92649,1,4379.766775,426.000006,440.477014,505.562064,493.000005,4386.790398,4359.11023,4387.24173,116.211015,509.463443,310.193081,557.236933,4359.035305,4394.47312,182.868153,4360.438625,182.989593,1619836.01,19001133,0
0,0,0,0,0,0,0,10,10,29,7,3,91,0.878834,9,4469.588795,418.000018,432.23142,501.219513,489.000015,4476.786906,4450.129886,4477.005807,115.134704,503.170945,274.558174,555.12341,4450.043417,4484.491275,93.10383,4451.359343,93.3198,818210.0053,19802759,0
0,0,0,0,0,0,0,5,3,9,1,2,64,0.98226,0,4497.316756,427,442.21488,509.157147,496,4504.391746,4477.136808,4504.50197,120.208153,510.131356,286.160499,569.956139,4477.0026,4513.134055,64.179676,4478.47675,64.289819,577161.0035,20043808,0
0,0,0,0,0,0,0,32,16,97,2,14,941,0.002551,3,3624.882895,424.001173,433.035795,490.951118,483.00103,3632.256737,3600.073471,3634.008255,90.956033,503.745968,953.435655,531.504469,3600.260108,3639.024182,942.055953,3601.075395,942.503953,7660778.057,12960191,0
0,0,0,0,0,0,0,4,3,18,0,3,147,0.942402,2,4414.505748,425.000004,440.546252,509.383942,496.000003,4421.905924,4394.131541,4422.130708,120.880106,511.331595,306.939577,566.483892,4394.007833,4430.365673,147.237294,4395.530912,147.288239,1313463.008,19307506,0
0,0,0,0,0,0,0,2,1,6,0,1,20,0.994898,1,4541.025985,426,442.040722,511.789019,498,4548.345304,4521.143329,4548.345304,123.369364,511.789019,282.692248,572.30062,4521.00068,4557.078999,20.144815,4522.539663,20.198468,181246.0011,20439723,0
0,0,0,0,0,0,0,2,1,6,0,1,20,0.994898,1,4541.025985,426,442.040722,511.789019,498,4548.345304,4521.143329,4548.345304,123.369364,511.789019,282.692248,572.30062,4521.00068,4557.078999,20.144815,4522.539663,20.198468,181246.0011,20439723,0
