@relation 'Ant17ALLModels-weka.filters.unsupervised.attribute.Remove-R1-10,29-30,42-43,46-47-weka.filters.unsupervised.attribute.Remove-R30-31-weka.filters.unsupervised.attribute.NumericToBinary-Rlast-weka.filters.unsupervised.attribute.Normalize-S2.0-T-1.0-weka.filters.unsupervised.attribute.NumericToBinary-Rlast-weka.filters.unsupervised.attribute.Remove-R1-14,16-28'

@attribute 'd(LOC, Ce)' numeric
@attribute #Hbugs_binarized {0,1}

@data
0.655669,0
0.97026,0
0.94008,0
0.953384,0
0.919228,0
0.959617,0
0.971601,0
0.582413,0
0.934769,0
0.991129,0
0.991129,0
0.931222,0
0.91346,0
0.729291,0
0.783447,0
0.90592,0
0.952521,0
0.92856,0
0.865514,0
0.927215,0
0.511825,0
0.905486,0
0.953842,0
0.958276,0
0.942749,0
0.937421,0
0.950743,0
0.957836,0
0.967164,0
0.598367,0
0.774998,0
0.969817,0
0.936084,0
0.963601,0
0.618374,0
0.905907,0
0.88417,0
0.798081,0
0.60149,0
0.87532,0
0.942749,0
0.98891,0
0.9472,0
0.954286,0
0.946316,0
0.998669,0
0.909457,0
0.878408,0
0.931673,0
0.978694,0
0.991576,0
0.99956,0
0.182606,1
0.781222,0
0.94009,0
0.93966,0
0.942312,0
0.939646,0
0.968485,0
0.998229,0
0.851355,0
0.953849,0
0.915672,0
0.91702,0
0.982254,0
0.960058,0
0.87174,0
0.942319,0
0.860677,0
0.541165,0
0.628548,0
0.919219,0
0.950278,0
0.755013,0
0.940087,0
0.684025,0
0.873989,0
0.917914,1
0.535827,0
0.610414,0
0.67827,0
0.912579,0
0.942759,0
0.650315,0
0.953405,0
0.994672,0
0.781649,0
0.881946,0
0.641888,0
0.95828,0
0.82783,0
0.456811,0
0.820287,0
0.941865,0
0.702211,0
0.771433,1
0.936528,0
0.654738,0
0.443567,0
0.315734,0
0.648987,1
0.769685,0
-0.30332,0
0.999113,0
0.903704,0
0.794555,0
0.714229,0
0.846907,0
0.30728,0
0.937431,0
0.912125,0
0.671159,1
0.745706,0
0.914788,0
0.848686,0
0.886846,0
0.1888,1
0.652531,0
0.927659,0
0.96627,0
0.620133,0
0.64012,0
0.751927,0
0.905032,0
0.727081,0
-0.057933,1
0.609042,0
0.546906,1
0.854003,0
0.797179,0
0.995566,0
0.979585,0
0.609901,0
0.72266,0
0.726654,0
0.832701,0
0.861975,0
0.37295,0
0.540672,0
0.48876,0
0.547374,0
0.858408,0
0.763017,0
0.497222,0
0.612148,0
0.222556,1
-0.021923,0
0.591726,0
0.494551,0
0.546917,0
0.068979,0
0.727105,0
0.600603,1
-0.033088,0
0.756361,0
0.846911,0
0.793186,0
0.878399,0
0.429368,0
0.882399,0
0.839329,0
0.876183,0
0.937859,0
0.570479,0
-0.199934,0
0.939193,0
0.940544,0
0.830944,0
0.78564,0
0.90857,0
0.829567,0
0.834916,0
0.791892,0
0.890851,0
0.96672,0
0.905032,0
0.960055,0
0.91435,0
0.925003,0
0.936554,0
0.87664,0
0.893062,0
0.926775,0
0.975592,0
0.930325,0
0.968039,0
0.968923,0
0.966273,0
0.870418,1
0.96227,0
0.991569,0
0.984463,0
0.988903,0
0.86505,0
0.845537,0
0.436399,0
0.854843,0
0.514058,0
0.443497,0
0.240734,0
0.542454,0
0.39338,0
0.833582,0
0.739946,0
0.646746,0
0.790994,0
0.462148,1
0.823826,0
0.765695,0
0.482124,0
0.469261,0
0.458612,0
0.605936,0
0.889058,0
0.839804,0
0.864635,0
0.828701,0
0.454184,0
0.771457,0
0.909427,0
0.871312,0
0.684926,1
0.610804,0
0.879736,0
0.770561,0
0.635229,0
0.866875,0
0.622826,0
0.74485,0
0.734637,1
0.862431,0
0.918335,0
-1,0
0.644982,0
0.917897,0
0.686249,0
0.554501,0
0.539387,0
0.915196,0
0.905464,0
0.861528,0
0.629478,0
0.060577,0
0.912091,0
0.860192,0
0.842016,0
0.826926,0
0.7954,0
0.694273,0
0.776754,0
0.893486,0
0.916108,0
0.065527,0
0.814058,0
0.778989,0
0.908135,0
0.910357,0
0.880627,0
0.932113,0
0.845551,0
0.818509,0
0.896595,0
0.847351,0
0.800306,0
0.723544,0
0.719962,1
0.911691,0
0.799842,0
0.952058,0
0.889505,0
0.553576,0
0.761275,0
0.88729,0
0.868203,0
0.916079,0
0.918798,1
0.566425,0
0.926766,0
0.956496,0
0.94053,0
0.731546,0
0.798075,0
0.792315,0
0.893483,0
0.902366,0
0.910354,0
0.959608,0
0.724898,0
0.966258,0
0.905029,0
0.699117,0
0.822509,0
0.766582,0
0.833142,0
0.843335,0
0.709808,0
0.795862,0
0.826042,0
0.873084,0
0.880612,0
