@relation 'Ant17ALLModels-weka.filters.unsupervised.attribute.Remove-R1-10,29-30,42-43,46-47-weka.filters.unsupervised.attribute.Remove-R30-31-weka.filters.unsupervised.attribute.NumericToBinary-Rlast-weka.filters.unsupervised.attribute.Normalize-S2.0-T-1.0-weka.filters.unsupervised.attribute.Remove-R1-8,10-28'

@attribute 'd(LOC,FANIN)' numeric
@attribute #Hbugs_binarized {0,1}

@data
0.626656,0
0.967174,0
0.934954,0
0.949433,0
0.912391,0
0.955804,0
0.969205,0
0.547539,0
0.929181,0
0.990331,0
0.990331,0
0.924917,0
0.905997,0
0.706306,0
0.765248,0
0.89796,0
0.948471,0
0.922493,0
0.854194,0
0.921049,0
0.471007,0
0.897432,0
0.949914,0
0.954588,0
0.93784,0
0.932114,0
0.9465,0
0.954244,0
0.964394,0
0.564598,0
0.756065,0
0.967281,0
0.930624,0
0.960499,0
0.585879,0
0.89796,0
0.873733,0
0.781061,0
0.568069,0
0.864205,0
0.937887,0
0.987789,0
0.942513,0
0.950166,0
0.941597,0
0.998421,0
0.901761,0
0.868093,0
0.92572,0
0.976858,0
0.990857,0
0.999474,0
0.115005,1
0.762744,0
0.935,0
0.934473,0
0.937359,0
0.934519,0
0.965791,0
0.998075,0
0.838709,0
0.949368,0
0.908543,0
0.910033,0
0.980753,0
0.95665,0
0.860078,0
0.934341,0
0.848711,0
0.502965,0
0.597359,0
0.912344,0
0.946112,0
0.734233,0
0.934907,0
0.657612,0
0.86314,0
0.910901,1
0.910901,1
0.497207,0
0.577507,0
0.651314,0
0.904617,0
0.93784,0
0.621054,0
0.949387,0
0.994226,0
0.760855,0
0.871421,0
0.611767,0
0.954679,0
0.813322,0
0.411777,0
0.805,0
0.936925,0
0.676682,0
0.75222,1
0.930691,0
0.625911,0
0.39752,0
0.259519,0
0.619559,1
0.750297,0
-0.402816,0
0.998992,0
0.895555,0
0.775952,0
0.686727,0
0.833997,0
0.250427,0
0.931928,0
0.90446,0
0.643045,1
0.724139,0
0.907533,0
0.835727,0
0.876713,0
0.1225,1
0.623456,0
0.921068,0
0.963248,0
0.587854,0
0.6099,0
0.730565,0
0.896951,0
0.704161,0
-0.156113,1
-0.156113,1
0.576343,0
0.5088,1
0.841116,0
0.7801,0
0.994918,0
0.977192,0
0.577358,0
0.698892,0
0.703577,0
0.818029,0
0.84968,0
0.321146,0
0.500964,0
0.445129,0
0.509682,0
0.846307,0
0.742885,0
0.455,0
0.579482,0
0.152942,1
0.152942,1
-0.105884,0
0.5569,0
0.452417,0
0.504672,0
-0.006531,0
0.704109,0
0.565344,1
-0.115852,0
0.735323,0
0.83342,0
0.775673,0
0.867666,0
0.382058,0
0.871306,0
0.825628,0
0.863515,0
0.930361,0
0.534409,0
-0.293131,0
0.933853,0
0.934931,0
0.816589,0
0.767601,0
0.900799,0
0.815196,0
0.820966,0
0.774331,0
0.881464,0
0.954901,0
0.896951,0
0.956558,0
0.907005,0
0.918597,0
0.931059,0
0.866217,0
0.884012,0
0.920568,0
0.97349,0
0.924417,0
0.96531,0
0.966272,0
0.963386,0
0.859532,1
0.959102,0
0.990857,0
0.983159,0
0.98797,0
0.853665,0
0.832555,0
0.389479,0
0.839691,0
0.471071,0
0.396724,0
0.177844,0
0.503717,0
0.342864,0
0.811255,0
0.717039,0
0.616621,0
0.770311,0
0.417287,1
0.805449,0
0.74488,0
0.43863,0
0.42502,0
0.413512,0
0.572871,0
0.876653,0
0.823611,0
0.850409,0
0.813462,0
0.408717,0
0.751867,0
0.900885,0
0.859969,0
0.65836,1
0.578152,0
0.867324,0
0.750806,0
0.604617,0
0.855349,0
0.591007,0
0.722975,0
0.712073,1
0.850021,0
0.910827,0
-1,0
0.615183,0
0.909026,0
0.659907,0
0.517017,0
0.500988,0
0.907781,0
0.895631,0
0.849105,0
0.598375,0
-0.015086,0
0.904367,0
0.848182,0
0.828368,0
0.812066,0
0.778077,0
0.668501,0
0.757937,0
0.883883,0
0.908466,0
-0.009931,0
0.798122,0
0.76029,0
0.899852,0
0.902489,0
0.870402,0
0.91637,0
0.832457,0
0.803126,0
0.887529,0
0.834332,0
0.783266,0
0.700213,0
0.696421,1
0.903701,0
0.782934,0
0.947353,0
0.880069,0
0.5164,0
0.741063,0
0.877616,0
0.856935,0
0.90893,0
0.911399,1
0.530317,0
0.920336,0
0.950588,0
0.933624,0
0.708709,0
0.781011,0
0.774762,0
0.884303,0
0.893971,0
0.902536,0
0.953878,0
0.701707,0
0.961184,0
0.89667,0
0.673892,0
0.806871,0
0.746933,0
0.819042,0
0.829907,0
0.685422,0
0.778657,0
0.811349,0
0.862273,0
0.870449,0
0.727708,0
0.661882,0
0.947325,0
0.827168,0
0.824332,0
0.845009,0
0.818562,0
0.839719,0
0.946706,0
0.85126,0
0.852222,0
0.854627,0
0.922399,0
0.613371,0
0.872759,0
0.840681,0
0.873383,0
0.898844,0
0.912685,0
0.931012,0
0.954588,0
0.765628,1
0.928976,0
0.911816,0
0.878674,0
0.880069,0
0.862802,0
0.856311,0
0.940796,0
0.82914,0
0.8339,0
0.883964,0
0.814234,0
0.889255,0
0.931518,0
0.939719,0
0.924666,0
0.887331,0
0.817119,0
0.929088,0
0.887331,0
0.718097,0
0.939879,0
0.840681,0
0.911382,0
0.948677,0
0.924805,0
0.94107,0
0.918227,0
0.822408,0
0.902723,0
0.954106,0
0.912111,0
0.874826,0
0.952781,0
0.818562,0
0.929615,0
0.928468,0
0.963684,0
0.895508,0
0.949537,0
0.892622,0
0.914268,0
0.864245,0
0.947714,0
0.947714,0
0.947714,0
0.844528,0
0.931059,0
0.892141,0
0.87425,0
0.864726,0
0.88204,0
0.930143,0
0.922787,0
0.95752,0
0.865207,0
0.85655,0
0.93784,0
0.85126,0
0.874826,0
0.672023,0
0.875788,0
0.946798,0
0.945973,0
0.952663,0
0.9657,0
0.78688,0
0.947097,0
0.95988,0
0.94217,0
0.806591,0
0.921437,0
0.959263,0
0.808033,0
0.908014,0
0.972335,0
0.934426,0
0.924851,0
0.914749,0
0.93958,0
0.926636,0
0.923408,0
0.902289,0
0.917635,0
0.956604,0
0.72776,0
0.81813,0
0.833997,0
0.898394,0
0.968106,0
0.888822,0
0.805629,0
0.881126,0
0.975097,0
0.929662,0
0.947462,0
0.957085,0
0.838325,0
0.932067,0
0.933992,0
0.974527,0
0.974527,0
0.920087,0
0.893631,0
0.979518,0
0.962813,0
0.842172,0
0.96334,0
0.976631,0
0.972391,0
0.977548,0
0.962541,0
0.869535,0
0.467885,0
0.919606,0
0.963775,0
0.879202,0
0.924898,0
0.978288,0
0.979127,0
0.893584,0
0.910948,0
0.90609,0
0.902723,0
0.817649,1
0.974361,0
0.966662,0
0.995098,0
0.917201,0
0.926822,0
0.935962,0
0.910807,0
0.935962,0
0.944622,0
0.886417,0
0.972001,0
0.901327,0
0.976286,0
0.898922,0
0.895074,0
0.949914,0
0.949387,0
0.906137,0
0.910467,1
0.820534,0
0.975142,0
0.964302,0
0.966227,0
0.927784,0
0.896036,0
0.993218,0
0.935,0
0.942651,0
0.953236,0
0.951265,0
0.971084,0
0.974482,0
0.986782,0
0.974571,0
0.974571,0
0.988876,0
0.93933,0
0.960407,0
0.948471,0
0.939719,0
0.880164,0
0.879107,0
0.913834,0
0.961896,0
0.961896,0
0.958574,0
0.997369,0
0.980955,0
0.960934,0
0.967189,0
0.94799,0
0.983939,0
0.973009,0
0.980571,0
0.935481,0
0.997022,0
0.991023,0
0.758418,0
0.978601,0
0.901761,0
0.948906,0
0.96531,0
0.981143,0
0.937406,0
0.924851,0
0.872373,0
0.922012,0
0.949849,0
0.912391,0
0.963386,0
0.972527,1
0.970122,0
0.96334,0
0.979264,0
0.985955,0
0.976286,0
0.946546,0
0.964348,0
0.94799,0
0.953763,0
0.944141,0
0.996586,0
0.986872,0
0.93019,0
0.941735,0
0.958093,0
0.96098,0
0.96531,0
0.942217,0
0.988361,0
0.960018,0
0.951358,0
0.990105,0
0.99733,0
0.992075,0
0.972001,0
0.833516,0
0.998198,0
0.975896,0
0.979745,0
0.982151,0
0.989323,0
0.99221,0
0.997549,0
0.997549,0
0.987444,0
0.983113,0
0.978783,0
0.978256,0
0.974452,0
0.987925,0
0.987925,0
0.987925,0
0.987925,0
0.919606,0
0.961461,0
0.97349,0
0.97349,0
0.984557,0
0.967716,0
0.991774,0
0.990676,0
0.99803,0
0.99803,0
0.99803,0
0.99803,0
0.995052,0
0.993218,0
0.983594,0
0.990812,0
0.995579,0
0.989368,0
0.964348,0
0.976858,0
0.987925,0
0.993654,0
0.998902,0
0.998511,0
0.99803,0
0.998511,0
0.993218,0
0.993699,0
0.996586,0
0.996586,0
0.779238,0
0.998992,0
0.998992,0
0.998992,0
0.814333,0
0.916767,0
0.862899,0
0.859532,0
0.937452,0
0.944622,0
0.941301,0
0.988451,0
0.874922,0
0.853281,1
0.955734,0
0.856647,0
0.94082,0
0.94082,0
0.951404,0
0.914362,0
0.954771,0
0.906666,0
0.997504,0
0.948998,0
0.941301,0
0.965837,0
0.974017,0
0.928793,0
0.961026,0
0.944668,0
0.997068,0
0.966318,0
0.958139,0
0.960545,0
0.949479,0
0.966318,0
0.879731,1
0.948998,0
0.964394,0
0.88406,0
0.951885,0
0.973054,0
0.97546,0
0.974498,0
0.938895,0
0.910995,0
0.997549,0
0.902818,0
0.974979,0
0.98364,0
0.949479,0
0.979309,0
0.967281,0
0.973054,0
0.996632,0
0.988451,0
0.959102,0
0.978347,0
0.999384,0
0.999384,0
0.973535,0
0.960545,0
0.959583,0
0.957177,0
0.982677,0
0.988451,0
0.97546,0
0.978347,0
0.999428,0
0.999428,0
0.912438,0
0.928312,0
0.990376,0
0.98364,0
0.921577,0
0.980272,0
0.938414,0
0.987008,0
0.987008,0
0.984121,0
0.992301,0
0.960064,0
0.948036,0
0.964875,0
0.972092,0
0.986046,0
0.99182,0
0.999474,0
0.999474,0
0.999474,0
0.999474,0
0.999474,0
0.999474,0
0.999474,0
0.999474,0
0.999474,0
0.999474,0
0.999474,0
0.999474,0
0.999474,0
0.999474,0
0.999474,0
0.98364,0
0.985564,0
0.968243,0
0.976904,0
0.977385,0
0.994707,0
0.988451,0
0.994226,0
0.984121,0
0.993263,0
0.988933,0
0.988933,0
0.99615,0
0.994707,0
0.99182,0
0.995188,0
0.994226,0
0.994226,0
0.990376,0
0.990376,0
0.99615,0
0.994226,0
0.994226,0
0.999038,0
0.999038,0
0.991339,0
0.994707,0
0.996632,0
0.996632,0
0.998075,0
0.998075,0
0.997594,0
0.998075,0
0.987489,0
0.992301,0
0.998075,0
0.992782,0
0.999519,0
0.999519,0
0.999519,0
0.999519,0
0.999519,0
0.010401,0
0.999038,0
0.999519,0
1,0
1,0
0.989414,0
0.987489,0
0.976904,0
1,0
0.98797,0
0.996632,0
