@relation 'Ant17ALLModels-weka.filters.unsupervised.attribute.Remove-R1-18,20-46'

@attribute 'd(LOC,FANIN)' numeric
@attribute #Risk numeric

@data
3788.576118,0
4493.113842,0
4426.450158,0
4456.407971,0
4379.766775,0
4469.588795,0
4497.316756,0
3624.882895,0
4414.505748,0
4541.025985,0
4541.025985,0
4405.684056,0
4366.536957,3
3953.37337,0
4075.326367,0
4349.909999,0
4454.417134,0
4400.667677,0
4259.356759,0
4397.681776,0
3466.537321,6
4348.816966,0
4457.403392,0
4467.072643,0
4432.422475,0
4420.574171,0
4450.339875,0
4466.362278,0
4487.362031,0
3660.177045,0
4056.326047,0
4493.334842,2
4417.491822,0
4479.303182,0
3704.208013,0
4349.909999,3
4299.784181,0
4108.043452,3
3667.360495,0
4280.069626,0
4432.518471,0
4535.7673,0
4442.090499,0
4457.923844,0
4440.194703,0
4557.764803,0
4357.773973,0
4288.113105,0
4407.345913,0
4513.15023,0
4542.115476,0
4559.942543,0
2729.963553,10
4070.144961,0
4426.546284,0
4425.454779,0
4431.427084,0
4425.550926,0
4490.253445,0
4557.049265,0
4227.317353,0
4456.272546,0
4371.804776,0
4374.887999,1
4521.208909,0
4471.339508,0
4271.529937,0
4425.182143,0
4248.01283,1
3532.658206,0
3727.96191,0
4379.669622,3
4449.535931,0
4011.154697,0
4426.354256,0
3852.62469,3
4277.865472,0
4376.68379,8
3520.74566,0
3686.88622,0
3839.593859,0
4363.683307,0
4432.422475,0
3776.987424,0
4456.312489,0
4549.084523,0
4066.23622,0
4294.999534,0
3757.770616,0
4467.262473,0
4174.791612,0
3343.989384,3
4157.574413,3
4430.527734,0
3892.081191,0
4048.370166,4
4417.630587,0
3787.03644,0
3314.490157,0
3028.96451,0
3773.89401,4
4044.392291,3
1658.583733,6
4558.946918,0
4344.934062,0
4097.473002,0
3912.865063,0
4217.569442,0
3010.153651,9
4420.190494,0
4363.357652,0
3822.485579,5
3990.271294,0
4369.716924,0
4221.147237,0
4305.948444,0
2745.470816,8
3781.955711,0
4397.719864,0
4484.992085,0
3708.294756,6
3753.908496,6
4003.567035,0
4347.821753,0
3948.936692,0
2169.016597,14
3684.477711,6
3544.731866,4
4232.297249,0
4106.054189,0
4550.516674,0
4513.841933,0
3686.57958,3
3938.034027,0
3947.727701,0
4184.530081,0
4250.016941,0
3156.471606,0
3528.518103,3
3412.995312,0
3546.556922,0
4243.037591,0
4029.055721,0
3433.417103,0
3690.973991,0
2808.455269,11
2272.939286,3
3644.25054,0
3428.073511,0
3536.190606,0
2478.502169,0
3948.829194,0
3661.72118,5
2252.316585,6
4013.410021,6
4216.374272,0
4096.895654,0
4287.230458,0
3282.4992,0
4294.761577,0
4200.252969,0
4278.64149,3
4416.947589,0
3597.717332,3
1885.522209,6
4424.172239,0
4426.403167,0
4181.551865,0
4080.194726,0
4355.783512,3
4178.668927,3
4190.606877,0
4094.118831,0
4315.779651,0
4467.721119,0
4347.821753,0
4471.149405,0
4368.624497,0
4392.608451,0
4418.39111,0
4284.232137,0
4321.050335,0
4396.68648,0
4506.181532,0
4404.648908,0
4489.257957,0
4491.248935,0
4485.276023,0
4270.40162,7
4476.412068,3
4542.115476,0
4526.186585,0
4536.142083,0
4258.261852,6
4214.584796,3
3297.853999,0
4229.349359,0
3466.669872,0
3312.844397,3
2859.977098,0
3534.214057,6
3201.405941,0
4170.514597,0
3975.580587,0
3767.813822,0
4085.802369,0
3355.389843,10
4158.502735,0
4033.184598,0
3399.548794,0
3371.389328,0
3347.578528,0
3677.29425,0
4305.825124,0
4196.080195,0
4251.525021,0
4175.081556,3
3337.658161,0
4047.641288,0
4355.962006,0
4271.30624,0
3854.172414,4
3688.221794,0
4286.5226,0
4045.445835,0
3742.97876,0
4261.746238,0
3714.819107,0
3987.862209,0
3965.305663,7
4250.722527,0
4376.530361,0
423,0
3764.838642,0
4372.805164,0
3857.373718,0
3561.731321,3
3528.56699,3
4370.228827,0
4345.090218,0
4248.828191,0
3730.062332,0
2460.803121,9
4363.165136,0
4246.91853,0
4205.922729,0
4172.193787,6
4101.868964,3
3875.155868,3
4060.199502,0
4320.783494,0
4371.647287,0
2471.467985,0
4143.342129,0
4065.068019,0
4353.823722,0
4359.279872,0
4292.890984,0
4388,0
4214.38311,0
4153.697148,0
4328.328199,0
4218.262438,0
4112.605257,0
3940.768072,0
3932.922069,7
4361.787363,0
4111.918774,0
4452.104334,0
4312.892301,0
3560.456431,0
4025.287319,0
4307.818241,0
4265.028136,0
4372.605631,0
4377.715043,4
3589.250757,0
4396.204841,0
4458.797371,0
4423.698114,0
3958.345109,0
4107.940116,0
4095.009768,0
4321.65304,0
4341.655214,1
4359.376332,0
4465.60511,0
3943.858136,0
4480.719808,0
4347.239354,0
3886.308531,0
4161.445062,0
4037.431114,0
4186.627521,0
4209.107388,0
3910.16547,0
4103.070314,3
4170.710491,0
4276.073082,0
4292.989634,0
3997.655563,0
3861.459439,0
4452.045373,0
4203.439068,0
4197.570845,0
4240.352108,0
4185.632688,0
4229.407642,0
4450.766451,0
4253.286847,0
4255.276842,0
4260.25187,0
4400.47452,0
3761.08947,0
4297.768374,0
4231.397523,0
4299.059083,0
4351.737584,0
4380.37487,0
4418.295259,0
4467.072643,0
4076.112364,4
4414.082577,0
4378.577395,0
4310.005336,0
4312.892301,0
4277.167404,0
4263.736507,0
4438.53771,0
4207.519578,0
4217.3679,0
4320.951863,0
4176.679303,0
4331.89866,0
4419.340335,0
4436.308375,0
4405.163561,0
4327.917975,0
4182.648204,0
4414.31365,0
4327.917975,0
3977.769475,0
4436.640396,0
4231.397523,0
4377.679065,0
4454.84287,0
4405.451282,0
4439.104076,0
4391.841641,0
4193.59142,0
4359.764443,0
4466.077138,0
4379.187253,0
4302.044398,0
4463.335188,0
4185.632688,0
4415.404964,0
4413.031724,0
4485.893445,0
4344.83613,0
4456.623498,0
4338.864944,0
4383.650762,0
4280.152567,0
4452.851783,0
4452.851783,0
4452.851783,0
4239.357145,0
4418.39111,0
4337.869754,0
4300.852125,0
4281.147627,0
4316.971276,0
4416.496462,0
4401.277655,0
4473.140396,0
4282.142688,0
4264.231936,0
4432.422475,0
4253.286847,0
4302.044398,0
3882.442144,0
4304.034619,0
4450.955178,0
4449.249038,3
4463.090633,0
4490.064142,0
4120.082523,0
4451.574216,0
4478.023336,0
4441.381092,0
4160.864934,0
4398.48383,0
4476.745358,0
4163.849181,0
4370.712185,0
4503.792402,0
4425.358856,0
4405.547639,0
4384.646052,0
4436.022655,0
4409.240864,0
4402.561641,0
4358.866825,0
4390.617838,0
4471.244346,0
3997.761999,3
4184.739538,0
4217.569442,3
4350.807396,0
4495.041824,0
4331.001732,0
4158.875449,0
4315.079605,0
4509.507845,0
4415.501104,0
4452.330738,0
4472.239819,0
4226.523512,0
4420.477915,0
4424.459402,0
4508.326741,0
4508.326741,0
4395.691186,0
4340.953352,0
4518.654888,0
4484.090989,0
4234.482849,0
4485.181156,0
4512.681021,0
4503.907748,0
4514.579161,0
4483.527629,0
4291.098344,0
3460.076878,0
4394.695894,0
4486.082032,3
4311.099164,0
4405.644221,0
4516.10828,0
4517.846058,0
4340.85533,0
4376.781009,3
4366.731157,0
4359.764443,0
4183.744734,4
4507.984028,0
4492.055209,0
4550.888485,0
4389.719467,0
4409.625494,0
4428.537004,0
4376.490032,0
4428.537004,0
4446.453868,0
4326.026005,0
4503.100487,0
4356.876404,0
4511.966312,0
4351.900389,0
4343.938881,0
4457.403392,0
4456.312489,0
