@relation 'Ant17ALLModels-weka.filters.unsupervised.attribute.Remove-R1-38,40-46'

@attribute 'd(LOC, RFC)' numeric
@attribute #Risk numeric

@data
14175440,0
20016947,0
19413103,0
19678368,0
19001133,0
19802759,0
20043808,0
12960191,0
19307506,0
20439723,0
20439723,0
19237252,0
18887970,3
15452953,0
16427048,0
18740500,0
19660625,0
19184681,0
17960874,0
19158388,0
11840634,6
18731833,0
19687236,0
19776080,0
19466012,0
19360261,0
19625170,0
19767188,0
19954366,0
13220688,0
16273383,0
20008003,2
19333871,0
19882947,0
13549964,0
18740483,3
18318655,0
16695628,3
13271630,0
18147852,0
19466006,0
20394538,0
19554353,0
19696110,0
19536677,0
20593731,0
18809816,0
18207538,0
19246046,0
20187327,0
20448765,0
20611887,0
7284720,10
16386538,0
19413100,0
19404290,0
19457190,0
19404294,0
19981168,0
20584655,0
17690688,0
19687236,0
18931457,0
18957584,1
20259282,0
19811674,0
18079752,0
19457187,0
17867781,1
12299253,0
13719792,0
19001137,3
19616309,0
15912327,0
19413097,0
14661421,3
18122321,0
18975002,8
12215210,0
13417790,0
14562067,0
18870601,0
19466012,0
14085197,0
19678365,0
20512124,0
16394620,0
18275879,0
13942951,0
19776080,0
17247656,0
11002605,3
17106731,3
19448371,0
14977097,0
16208894,4
19342664,0
14160348,0
10804625,0
8994171,0
14062724,4
16176720,3
2572894,6
20602807,0
18697236,0
16630332,0
15186826,0
17606664,0
8880538,9
19360265,0
18861911,0
14440203,5
15745236,0
18914057,0
17640254,0
18370059,0
7360500,8
14122781,0
19167141,0
19936501,0
13579417,6
13913103,6
15856518,0
18723176,0
15413674,0
4652649,14
13395779,6
12390565,4
17741201,0
16679272,0
20530243,0
20205303,0
13410423,3
15335282,0
15405837,0
17339143,0
17893144,0
9784520,0
12292203,3
11485431,0
12397623,0
17825531,0
16056269,0
11614646,0
13447072,0
7778651,11
5008788,3
13111809,0
11573760,0
12390576,0
5968417,0
15413694,0
13257050,5
4897390,6
15936272,6
17606646,0
16605834,0
18207535,0
10595212,0
18284415,0
17464273,0
18164887,3
19369057,0
12766542,3
3374596,6
19395470,0
19421911,0
17305847,0
16467587,0
18792467,3
17280889,3
17380803,0
16581433,0
18447290,0
19945430,0
18723187,0
19811668,0
18905366,0
19114650,0
19342677,0
18173427,0
18490247,0
19149645,0
