@relation 'Ant17ALLModels-weka.filters.unsupervised.attribute.Remove-R1-31,33-46'

@attribute 'd(RFC, Ca)' numeric
@attribute #Risk numeric

@data
536.925507,0
515.908907,0
564.17905,0
567.439865,0
557.236933,0
555.12341,0
569.956139,0
531.504469,0
566.483892,0
572.30062,0
572.30062,0
551.071683,0
559.034883,3
525.342745,0
551.479827,0
560.437329,0
565.128304,0
570.937825,0
548.547172,0
561.324327,0
519.061653,6
555.886679,0
565.060174,0
565.205272,0
564.652991,0
562.249944,0
566.483892,0
567.439865,0
568.979789,0
526.273693,0
546.38631,0
567.52533,2
561.830045,0
564.588346,0
533.158513,0
552.786577,3
547.950728,0
549.388751,3
526.115006,0
529.773536,0
562.714848,0
566.219922,0
562.491778,0
561.063276,0
562.875652,0
565.276923,0
555.889378,0
556.780926,0
567.233638,0
570.340249,0
571.808534,0
563.554789,0
476.111332,10
549.331412,0
563.648827,0
563.235297,0
565.128304,0
566.00795,0
565.533377,0
572.548688,0
556.345217,0
560.658541,0
559.057242,0
562.014235,1
571.808534,0
567.919889,0
553.650612,0
511.590657,0
554.562891,1
538.163544,0
520.649594,0
559.946426,3
565.533377,0
534.307964,0
561.364409,0
529.531869,3
563.056836,0
561.063276,8
530.315001,0
538.444055,0
540.855803,0
558.828238,0
565.533377,0
528.564093,0
564.249059,0
572.794029,0
543.111407,0
553.696668,0
531.094154,0
566.961198,0
554.993694,0
510.357718,3
543.438129,3
566.961198,0
535.549251,0
542.708946,4
558.243674,0
529.192782,0
559.946426,0
526.216685,0
545.146769,4
549.283169,3
503.083492,6
571.682604,0
561.786436,0
532.301606,0
472.746232,0
556.334432,0
509.061882,9
551.79797,0
557.411876,0
537.785273,5
536.649793,0
554.616985,0
553.696668,0
557.882604,0
511.074359,8
542.308031,0
560.404318,0
564.127645,0
533.730269,6
531.309702,6
524.218466,0
555.889378,0
534.988785,0
146,14
528.251834,6
511.352129,4
555.079274,0
541.908664,0
565.352987,0
564.238425,0
528.251834,3
537.791781,0
538.487697,0
550.520663,0
540.240687,0
514.307301,0
516.730104,3
500.243941,0
530.215051,0
551.414545,0
540.77352,0
522.708332,0
523.994275,0
386.517787,11
469.622189,3
517.054156,0
519,0
434.263745,0
