@relation 'Ant17ALLModels-weka.filters.unsupervised.attribute.Remove-R1-21,23-46'

@attribute 'd( WMC,CBO)' numeric
@attribute #Risk numeric

@data
498.303121,0
449.689893,0
503.390505,0
502.802148,0
505.562064,0
501.219513,0
509.157147,0
490.951118,0
509.383942,0
511.789019,0
511.789019,0
498.616085,0
504.905932,3
487.54487,0
503.289181,0
505.122757,0
509.157147,0
509.383942,0
496.879261,0
506.463227,0
465.914155,6
507.621907,0
506.983234,0
506.235123,0
505.122757,0
505.562064,0
509.383942,0
507.666229,0
508.932215,0
480.829492,0
496.960763,0
506.463227,2
504.287616,0
506.693201,0
494.631176,0
501.886441,3
492,0
500.09999,3
486.296206,0
480.010417,0
507.436696,0
504.747462,0
506.317094,0
502.860816,0
503.170945,0
500.356873,0
501.123737,0
506.537264,0
508.051178,0
508.410267,0
512.532926,0
499.385623,0
452.54834,10
501.977091,0
507.957675,0
509.789172,0
507.292815,0
508.639361,0
507.666229,0
510.075485,0
509.684216,0
504.060512,0
503.611954,0
505.489861,1
512.020507,0
508.183038,0
499.592834,0
450.876923,0
506.858955,1
501.280361,0
479.43717,0
503.086474,3
502.570393,0
486.902454,0
506.983234,0
493.235238,3
506.537264,0
506.537264,8
495.390755,0
501.687154,0
500.145979,0
501.662237,0
509.027504,0
497.213234,0
506.759312,0
509.843113,0
496.448386,0
496.565202,0
493.377138,0
506.983234,0
507.734182,0
484.024793,3
496.782649,3
507.957675,0
490.29175,0
491.28505,4
499.48974,0
492.114824,0
508.932215,0
494.818148,0
501.439927,4
501.482801,3
473.355047,6
508.870317,0
507.292815,0
481.368881,0
427.369863,0
505,0
480.871085,9
494.616013,0
498.963927,0
494.409749,5
494.021255,0
497.855401,0
502.737506,0
502.860816,0
479.896864,8
496.762519,0
505.784539,0
502.802148,0
495.585512,6
495.988911,6
484.814397,0
506.098805,0
500.356873,0
134,14
495.988911,6
471.962922,4
500.687527,0
494.021255,0
503.086474,0
502.112537,0
482.656192,3
494.801981,0
501.893415,0
498.402448,0
485.490474,0
483.265972,0
465.018279,3
467.863228,0
497.489698,0
490.510958,0
489.911216,0
483.390112,0
490.701539,0
362.343759,11
441.693332,3
480.213494,0
489.719307,0
396.440412,0
474.672519,0
501.953185,0
478.352381,5
466.495445,6
497.567081,6
506.581682,0
491.131347,0
498.920835,0
499.729927,0
502.953278,0
491.137455,0
502.953278,3
501.687154,0
502.953278,3
465.842248,6
500.708498,0
365.625492,0
506.644846,0
495.047473,0
500.09999,3
493.517984,3
503.289181,0
506.99211,0
509.244538,0
445.784701,0
506.537264,0
505.784539,0
505.261319,0
507.512561,0
509.684216,0
508.709151,0
509.157147,0
506.537264,0
508.709151,0
506.463227,0
505.034652,0
505.261319,0
509.383942,0
506.008893,7
506.463227,3
510.357718,0
508.639361,0
509.843113,0
485.707731,6
491.904462,3
478.352381,0
458.680717,0
437.732795,0
477.092234,3
479.885403,0
475.774106,6
484.869055,0
327.881076,0
491.581122,0
489.53243,0
419.97738,0
481.36161,10
464.038792,0
474.013713,0
482.445852,0
490.951118,0
491.757054,0
487.228899,0
501.278366,0
499.90099,0
498.545886,0
485.828159,3
495.613761,0
488.329807,0
484.809241,0
495.19794,0
496.504783,4
490.29175,0
472.279578,0
486.59737,0
494.535135,0
496.596416,0
493.624351,0
495.00101,0
496.794726,7
500.145979,0
499.524774,0
499.289495,0
494.216552,0
501.687154,0
490.244837,0
499.524774,3
497.213234,3
483.037266,0
500.784385,0
483.538003,0
502.059757,0
491.663503,9
481.465471,0
492.327127,0
495.609726,0
498.190726,6
492.882339,3
504.414512,3
487.755062,0
495.903216,0
486.902454,0
501.695127,0
500.356873,0
497.213234,0
503.644716,0
504.057536,0
502.863799,0
105,0
494.409749,0
502.451988,0
498.616085,0
500.708498,0
502.523631,0
504.477948,0
492.114824,7
501.546608,0
494.494692,0
499.379615,0
504.414512,0
494.191259,0
505.035642,0
503.850176,0
500.915163,0
473.625379,0
496.025201,4
488.181319,0
497.003018,0
502.523631,0
505.122757,0
500.024999,0
499.807963,0
501.33422,0
499.049096,0
502.311656,1
502.953278,0
502.737506,0
506.764245,0
502.953278,0
499.807963,0
495.78221,0
483.976239,0
499.916993,0
499.985,0
494.616013,0
507.560834,0
498.14255,3
500.899191,0
503.079517,0
498.616085,0
496.235831,0
504.019841,0
503.079517,0
506.098805,0
503.626846,0
503.441158,0
502.059757,0
500.684531,0
498.293086,0
501.278366,0
501.665227,0
501.861535,0
506.99211,0
495.903216,0
499.937996,0
495.609726,0
502.059757,0
497.016096,0
503.929559,0
500.300909,0
502.953278,0
500.912168,4
502.195181,0
503.500745,0
502.259893,0
496.342624,0
502.059757,0
507.074945,0
495.81549,0
503.500745,0
503.390505,0
502.665893,0
